start,end,spk,turn_id_agent,dialog_acts_agent
4300,8620,1,,
12710,12990,1,,
21260,27060,1,,
27910,28300,1,,
29030,30270,1,,
30910,36070,1,,
37290,37920,1,,
42190,42600,1,,
44010,52930,1,,
59680,61890,1,,
65330,67090,1,,
70310,71270,1,,
75430,82450,1,,
99580,107160,1,,
112020,113640,1,,
114500,114900,1,,
115940,118020,1,,
123890,124180,1,,
131800,135050,1,,
189710,195910,1,,
196580,197960,1,,
198630,199120,1,,
200320,203500,1,,
204990,206200,1,,
213220,215870,1,,
217610,220640,1,,
221550,225840,1,,
226620,227120,1,,
232930,233150,1,,
236010,238390,1,,
240300,240920,1,,
249080,250860,1,,
252650,254810,1,,
255850,256270,1,,
257390,259250,1,,
261270,261480,1,,
268540,270400,1,,
271120,272510,1,,
273880,285210,1,,
286980,290960,1,,
291580,291910,1,,
295350,298070,1,,
302830,303040,1,,
309100,309460,1,,
311130,311350,1,,
311990,315730,1,,
316360,317810,1,,
318770,319120,1,,
320000,323900,1,,
325440,332870,1,,
334730,340270,1,,
342360,348200,1,,
362280,363760,1,,
364400,370930,1,,
399840,406760,1,,
416540,421510,1,,
423250,427440,1,,
429490,429890,1,,
448180,449550,1,,
450830,453770,1,,
455000,456400,1,,
457520,459250,1,,
461640,462700,1,,
464440,465560,1,,
481750,493840,1,,
494650,498460,1,,
500640,507670,1,,
510470,511560,1,,
512530,517770,1,,
519590,521010,1,,
521820,531330,1,,
536810,542120,1,,
542790,545690,1,,
546690,548430,1,,
550820,551720,1,,
554350,559590,1,,
560820,566180,1,,
573020,581220,1,,
581970,582850,1,,
584630,584970,1,,
585800,604680,1,,
605300,610190,1,,
610890,615330,1,,
616350,616790,1,,
618750,622460,1,,
623340,625270,1,,
626190,627160,1,,
627950,632950,1,,
633710,643180,1,,
644580,647380,1,,
648420,652590,1,,
655370,656360,1,,
658640,658900,1,,
659650,660130,1,,
661190,661650,1,,
662290,670930,1,,
673050,673420,1,,
674850,675920,1,,
676780,680440,1,,
681720,682070,1,,
683130,684510,1,,
685200,688290,1,,
688980,701430,1,,
702710,706260,1,,
707760,713610,1,,
714290,715020,1,,
