start,end,spk,turn_id_agent,dialog_acts_agent
4280,5330,1,,
5590,8640,1,,
12690,13000,1,,
17720,17900,1,,
21120,21500,1,,
21770,26240,1,,
26710,27070,1,,
27900,28320,1,,
29290,30290,1,,
30890,34190,1,,
34510,36230,1,,
37280,37940,1,,
40030,40250,1,,
42190,42620,1,,
43980,44800,1,,
45300,48480,1,,
48970,50310,1,,
50850,51840,1,,
52060,52950,1,,
57250,57380,1,,
59640,59840,1,,
60080,61900,1,,
62760,63280,1,,
65320,67100,1,,
67550,67740,1,,
70280,71290,1,,
75420,77190,1,,
77700,81010,1,,
81290,82530,1,,
99030,99140,1,,
99570,102500,1,,
102960,107360,1,,
109360,109550,1,,
112020,112930,1,,
113280,113680,1,,
114450,114910,1,,
115930,118040,1,,
122210,122490,1,,
123190,123320,1,,
123880,124200,1,,
131780,135090,1,,
189690,191820,1,,
192010,195930,1,,
196560,197630,1,,
197830,197990,1,,
198600,199180,1,,
200240,203690,1,,
204450,204720,1,,
204980,206210,1,,
206560,206640,1,,
213210,214540,1,,
215050,215900,1,,
217590,218110,1,,
218480,220660,1,,
220970,221210,1,,
221540,221770,1,,
222020,224860,1,,
225230,225860,1,,
226600,227130,1,,
229530,229650,1,,
230490,230570,1,,
232920,233160,1,,
233390,233630,1,,
234400,234850,1,,
235430,235530,1,,
236000,236290,1,,
236500,237420,1,,
237630,237740,1,,
238040,238860,1,,
240290,240950,1,,
245130,245210,1,,
247870,248030,1,,
249070,249660,1,,
250080,250160,1,,
250380,250900,1,,
251230,251360,1,,
252640,252910,1,,
253410,253700,1,,
253910,254450,1,,
254660,254830,1,,
255830,256290,1,,
256610,256960,1,,
257370,258330,1,,
258700,258900,1,,
259170,259280,1,,
259940,260260,1,,
261240,261550,1,,
264210,264520,1,,
268500,269100,1,,
269310,270420,1,,
270730,270820,1,,
271100,271490,1,,
271820,272520,1,,
272880,273070,1,,
273870,277280,1,,
277630,282010,1,,
282520,285230,1,,
286530,286660,1,,
286970,287980,1,,
288360,289760,1,,
289960,290640,1,,
290850,290980,1,,
291570,291960,1,,
295340,297730,1,,
297960,298190,1,,
298490,298650,1,,
301170,301280,1,,
302800,303060,1,,
304600,304790,1,,
309090,309480,1,,
311070,311420,1,,
311970,313370,1,,
313640,315760,1,,
316350,317990,1,,
318230,318340,1,,
318740,319130,1,,
319490,319590,1,,
319960,320280,1,,
320650,323950,1,,
325430,325660,1,,
325860,328480,1,,
328780,330500,1,,
330690,331060,1,,
331260,332070,1,,
332270,332810,1,,
333510,333730,1,,
334710,335880,1,,
336070,336460,1,,
336690,336910,1,,
337240,338410,1,,
338650,339270,1,,
339640,340290,1,,
341530,341820,1,,
342350,347310,1,,
347570,348220,1,,
348770,348930,1,,
355130,355230,1,,
355660,355870,1,,
356250,356330,1,,
362210,363780,1,,
364390,369320,1,,
369700,371060,1,,
399310,399400,1,,
399830,400090,1,,
400290,400420,1,,
400620,404920,1,,
