,type,target,pred,error
0,0,100,-1000000,1000100
1,0,-200,-1000000,999800
2,0,100,-1000000,1000100
3,1,600,400,200
4,0,-150,-1000000,999850
5,1,250,400,-150
6,1,2600,400,2200
7,1,-150,400,-550
8,1,200,400,-200
9,1,300,400,-100
10,1,-100,400,-500
11,1,450,400,50
12,1,800,400,400
13,1,2750,400,2350
14,0,850,-1000000,1000850
15,1,0,400,-400
16,1,700,400,300
17,1,150,400,-250
18,0,-50,-1000000,999950
19,1,900,400,500
20,1,-200,400,-600
21,0,0,-1000000,1000000
22,0,50,-1000000,1000050
23,1,700,400,300
24,0,100,-1000000,1000100
25,0,1000,-1000000,1001000
26,1,1250,400,850
27,1,-100,400,-500
28,0,-150,-1000000,999850
29,0,0,-1000000,1000000
30,1,350,400,-50
31,0,1300,-1000000,1001300
32,1,100,400,-300
33,1,-100,400,-500
34,1,650,400,250
35,1,150,400,-250
36,1,-100,400,-500
37,1,0,400,-400
38,0,100,-1000000,1000100
39,1,1300,400,900
40,1,550,400,150
41,1,600,400,200
42,0,1150,-1000000,1001150
43,1,100,400,-300
44,1,0,400,-400
45,0,100,-1000000,1000100
46,1,-250,400,-650
47,0,550,-1000000,1000550
48,1,800,400,400
49,1,-400,400,-800
50,1,0,400,-400
51,0,100,-1000000,1000100
52,0,750,-1000000,1000750
53,0,50,-1000000,1000050
54,0,300,-1000000,1000300
55,1,450,400,50
56,1,900,400,500
57,1,-450,400,-850
58,0,-50,-1000000,999950
59,0,850,-1000000,1000850
60,1,1250,400,850
61,0,300,-1000000,1000300
62,1,0,400,-400
63,1,300,400,-100
64,0,200,-1000000,1000200
65,1,0,400,-400
66,1,250,400,-150
67,1,1900,400,1500
68,1,600,400,200
69,1,300,400,-100
70,0,2250,-1000000,1002250
71,1,500,400,100
72,1,800,400,400
73,0,1400,-1000000,1001400
74,1,450,400,50
75,1,2200,400,1800
76,0,2750,-1000000,1002750
77,1,400,400,0
78,1,200,400,-200
79,1,200,400,-200
80,0,1450,-1000000,1001450
81,1,600,400,200
82,0,850,-1000000,1000850
83,0,1050,-1000000,1001050
84,1,1100,400,700
85,1,250,400,-150
86,0,1700,-1000000,1001700
87,1,50,400,-350
88,1,250,400,-150
89,0,-400,-1000000,999600
90,1,250,400,-150
91,0,600,-1000000,1000600
92,1,2450,400,2050
93,1,850,400,450
94,1,400,400,0
95,1,450,400,50
96,1,-100,400,-500
97,0,700,-1000000,1000700
98,1,0,400,-400
99,1,100,400,-300
100,0,600,-1000000,1000600
101,1,1400,400,1000
102,0,2900,-1000000,1002900
103,0,550,-1000000,1000550
104,0,450,-1000000,1000450
105,1,-150,400,-550
106,1,-150,400,-550
107,1,1150,400,750
108,1,400,400,0
109,1,150,400,-250
110,1,1050,400,650
111,0,2950,-1000000,1002950
112,1,1200,400,800
113,1,1750,400,1350
114,1,-200,400,-600
115,1,300,400,-100
116,0,150,-1000000,1000150
117,1,200,400,-200
118,1,0,400,-400
119,1,250,400,-150
120,1,250,400,-150
121,0,600,-1000000,1000600
122,1,100,400,-300
123,1,450,400,50
124,0,50,-1000000,1000050
125,1,1100,400,700
126,1,700,400,300
127,0,0,-1000000,1000000
128,1,1150,400,750
129,1,150,400,-250
130,0,850,-1000000,1000850
131,0,0,-1000000,1000000
132,1,150,400,-250
133,1,500,400,100
134,1,600,400,200
135,0,200,-1000000,1000200
136,1,200,400,-200
137,1,450,400,50
138,1,450,400,50
139,0,-50,-1000000,999950
140,1,800,400,400
141,0,650,-1000000,1000650
142,0,0,-1000000,1000000
143,1,300,400,-100
144,1,400,400,0
145,1,50,400,-350
146,1,900,400,500
147,1,600,400,200
148,1,500,400,100
149,0,2400,-1000000,1002400
150,1,50,400,-350
151,1,1550,400,1150
152,0,0,-1000000,1000000
153,1,0,400,-400
154,1,1400,400,1000
155,0,350,-1000000,1000350
156,1,2950,400,2550
157,1,-400,400,-800
158,0,0,-1000000,1000000
159,0,-200,-1000000,999800
160,1,1500,400,1100
161,0,2550,-1000000,1002550
162,1,800,400,400
163,1,650,400,250
164,1,1300,400,900
165,1,400,400,0
166,0,-250,-1000000,999750
167,1,-50,400,-450
168,0,1150,-1000000,1001150
169,0,-300,-1000000,999700
170,1,300,400,-100
171,1,0,400,-400
172,0,1350,-1000000,1001350
173,1,550,400,150
174,1,0,400,-400
