,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,0,-200,-1000000,True,999800
2,1,100,1050,True,-950
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,1,250,50,False,200
6,0,2600,-1000000,True,1002600
7,1,-150,0,False,-150
8,1,200,150,False,50
9,1,300,100,False,200
10,0,-100,-1000000,True,999900
11,1,450,950,False,-500
12,1,800,600,False,200
13,1,2750,-50,False,2800
14,1,850,400,False,450
15,0,0,-1000000,False,1000000
16,1,700,650,True,50
17,1,150,600,False,-450
18,1,-50,350,True,-400
19,1,900,950,False,-50
20,1,-200,300,False,-500
21,0,0,-1000000,True,1000000
22,1,50,200,False,-150
23,0,700,-1000000,False,1000700
24,1,100,750,True,-650
25,1,1000,750,False,250
26,1,1250,500,False,750
27,1,-100,-300,True,200
28,0,-150,-1000000,True,999850
29,1,0,300,False,-300
30,1,350,-250,True,600
31,1,1300,1350,False,-50
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,-400,False,1050
35,1,150,300,False,-150
36,1,-100,750,True,-850
37,0,0,-1000000,True,1000000
38,1,100,350,False,-250
39,1,1300,1350,True,-50
40,1,550,600,False,-50
41,1,600,50,False,550
42,1,1150,1150,False,0
43,1,100,300,False,-200
44,1,0,300,True,-300
45,1,100,400,False,-300
46,0,-250,-1000000,True,999750
47,1,550,1400,True,-850
48,1,800,800,False,0
49,1,-400,450,False,-850
50,1,0,50,False,-50
51,1,100,950,False,-850
52,1,750,900,False,-150
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1750,False,-900
60,1,1250,1150,False,100
61,1,300,850,False,-550
62,1,0,600,True,-600
63,1,300,500,False,-200
64,1,200,250,False,-50
65,0,0,-1000000,False,1000000
66,1,250,300,False,-50
67,1,1900,850,False,1050
68,1,600,700,True,-100
69,1,300,200,False,100
70,1,2250,50,False,2200
71,1,500,600,False,-100
72,1,800,300,False,500
73,1,1400,900,False,500
74,0,450,-1000000,True,1000450
75,1,2200,2200,False,0
76,1,2750,2250,False,500
77,1,400,450,False,-50
78,1,200,1100,True,-900
79,0,200,-1000000,False,1000200
80,1,1450,1550,False,-100
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1100,False,-50
84,1,1100,200,False,900
85,1,250,350,True,-100
86,1,1700,1700,False,0
87,1,50,800,False,-750
88,1,250,600,False,-350
89,1,-400,0,True,-400
90,1,250,0,False,250
91,1,600,200,False,400
92,1,2450,50,False,2400
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,700,False,-700
99,1,100,500,False,-400
100,1,600,1200,True,-600
101,1,1400,1600,False,-200
102,1,2900,2950,False,-50
103,1,550,1100,True,-550
104,1,450,700,False,-250
105,1,-150,450,True,-600
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,750,True,-350
