,type,target,pred,barge_in,error
0,1,100,350,False,-250
1,0,-200,-1000000,True,999800
2,1,100,1050,True,-950
3,1,600,750,True,-150
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,350,False,-150
9,1,300,150,False,150
10,0,-100,-1000000,True,999900
11,1,450,850,False,-400
12,1,800,400,False,400
13,0,2750,-1000000,False,1002750
14,1,850,1150,False,-300
15,0,0,-1000000,False,1000000
16,1,700,750,True,-50
17,0,150,-1000000,False,1000150
18,1,-50,250,True,-300
19,1,900,1050,False,-150
20,1,-200,500,False,-700
21,0,0,-1000000,True,1000000
22,1,50,200,False,-150
23,1,700,750,False,-50
24,1,100,750,True,-650
25,1,1000,650,False,350
26,1,1250,650,False,600
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,350,False,-350
30,1,350,-250,True,600
31,1,1300,1350,False,-50
32,1,100,500,True,-400
33,0,-100,-1000000,True,999900
34,1,650,-400,False,1050
35,0,150,-1000000,False,1000150
36,1,-100,550,True,-650
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,1300,True,0
40,1,550,1100,False,-550
41,0,600,-1000000,False,1000600
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,250,True,-250
45,1,100,400,False,-300
46,1,-250,300,True,-550
47,1,550,1400,True,-850
48,1,800,850,False,-50
49,1,-400,400,False,-800
50,1,0,200,False,-200
51,1,100,650,False,-550
52,1,750,850,False,-100
53,1,50,250,False,-200
54,1,300,550,False,-250
55,1,450,650,False,-200
56,0,900,-1000000,False,1000900
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,300,False,550
60,1,1250,500,False,750
61,1,300,450,False,-150
62,1,0,650,True,-650
63,1,300,450,False,-150
64,1,200,850,False,-650
65,0,0,-1000000,False,1000000
66,1,250,400,False,-150
67,1,1900,1250,False,650
68,1,600,700,True,-100
69,1,300,250,False,50
70,1,2250,850,False,1400
71,1,500,550,False,-50
72,1,800,1450,False,-650
73,0,1400,-1000000,False,1001400
74,0,450,-1000000,True,1000450
75,1,2200,2250,False,-50
76,0,2750,-1000000,False,1002750
77,1,400,550,False,-150
78,1,200,1050,True,-850
79,0,200,-1000000,False,1000200
80,1,1450,300,False,1150
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1050,False,0
84,1,1100,450,False,650
85,1,250,400,True,-150
86,1,1700,150,False,1550
87,1,50,150,False,-100
88,1,250,700,False,-450
89,0,-400,-1000000,True,999600
90,1,250,-100,False,350
91,1,600,750,False,-150
92,1,2450,2650,False,-200
93,0,850,-1000000,True,1000850
94,1,400,1100,False,-700
95,1,450,200,False,250
96,1,-100,150,False,-250
97,1,700,900,True,-200
98,1,0,150,False,-150
99,1,100,500,False,-400
100,1,600,400,True,200
101,1,1400,1500,False,-100
102,1,2900,2950,False,-50
103,1,550,1100,True,-550
104,1,450,700,False,-250
105,1,-150,500,True,-650
106,1,-150,250,True,-400
107,1,1150,1000,False,150
108,0,400,-1000000,True,1000400
109,1,150,950,True,-800
110,0,1050,-1000000,True,1001050
111,1,2950,0,False,2950
112,1,1200,1400,False,-200
113,1,1750,1900,False,-150
114,1,-200,-1050,True,850
115,1,300,550,False,-250
116,1,150,700,True,-550
117,1,200,150,True,50
118,1,0,150,False,-150
119,0,250,-1000000,False,1000250
120,1,250,600,False,-350
121,1,600,850,True,-250
122,1,100,450,True,-350
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,700,True,400
126,1,700,950,False,-250
127,1,0,700,True,-700
128,1,1150,1300,False,-150
129,1,150,500,False,-350
130,1,850,950,True,-100
131,0,0,-1000000,True,1000000
132,1,150,250,False,-100
133,1,500,650,False,-150
134,1,600,850,False,-250
135,1,200,300,False,-100
136,1,200,300,False,-100
137,1,450,600,False,-150
138,1,450,250,False,200
139,0,-50,-1000000,True,999950
140,1,800,950,False,-150
141,1,650,800,False,-150
142,1,0,150,False,-150
143,1,300,250,False,50
144,1,400,400,False,0
145,0,50,-1000000,False,1000050
146,1,900,600,True,300
147,1,600,900,False,-300
148,0,500,-1000000,False,1000500
149,0,2400,-1000000,False,1002400
150,1,50,300,False,-250
151,0,1550,-1000000,True,1001550
152,1,0,250,False,-250
153,1,0,250,False,-250
154,1,1400,1450,False,-50
155,1,350,950,True,-600
156,1,2950,3250,True,-300
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1600,False,-100
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,400,True,250
164,1,1300,1400,False,-100
165,1,400,550,False,-150
166,0,-250,-1000000,True,999750
167,0,-50,-1000000,True,999950
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,500,False,-200
171,1,0,600,True,-600
172,1,1350,1500,False,-150
173,1,550,600,False,-50
174,0,0,-1000000,True,1000000
