,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,1,250,-600,False,850
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,450,False,-250
9,1,300,100,False,200
10,1,-100,250,True,-350
11,1,450,850,False,-400
12,1,800,300,False,500
13,1,2750,-550,False,3300
14,1,850,1050,False,-200
15,1,0,-1150,False,1150
16,1,700,300,True,400
17,1,150,350,False,-200
18,1,-50,350,True,-400
19,1,900,1000,False,-100
20,1,-200,350,False,-550
21,0,0,-1000000,True,1000000
22,1,50,200,False,-150
23,1,700,900,False,-200
24,1,100,950,True,-850
25,1,1000,700,False,300
26,1,1250,-150,False,1400
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,300,False,-300
30,1,350,-150,True,500
31,1,1300,1400,False,-100
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,1050,False,-400
35,0,150,-1000000,False,1000150
36,1,-100,500,True,-600
37,0,0,-1000000,True,1000000
38,1,100,350,False,-250
39,1,1300,-1450,True,2750
40,1,550,600,False,-50
41,1,600,-250,False,850
42,1,1150,-450,False,1600
43,1,100,900,False,-800
44,1,0,200,True,-200
45,1,100,350,False,-250
46,1,-250,100,True,-350
47,0,550,-1000000,True,1000550
48,1,800,800,False,0
49,1,-400,450,False,-850
50,1,0,250,False,-250
51,1,100,950,False,-850
52,1,750,900,False,-150
53,1,50,450,False,-400
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,-550,False,1450
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1800,False,-950
60,1,1250,1250,False,0
61,1,300,400,False,-100
62,1,0,650,True,-650
63,1,300,400,False,-100
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,200,False,50
67,1,1900,2500,False,-600
68,1,600,700,True,-100
69,1,300,-500,False,800
70,1,2250,100,False,2150
71,1,500,550,False,-50
72,1,800,1500,False,-700
73,1,1400,1550,False,-150
74,1,450,-2800,True,3250
75,1,2200,-150,False,2350
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,1,200,-4500,True,4700
79,1,200,-1050,False,1250
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,1,850,-850,False,1700
83,1,1050,1200,False,-150
84,1,1100,1200,False,-100
85,1,250,400,True,-150
86,1,1700,1550,False,150
87,1,50,350,False,-300
88,1,250,400,False,-150
89,1,-400,-1000,True,600
90,1,250,-1050,False,1300
91,0,600,-1000000,False,1000600
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,250,False,-350
97,0,700,-1000000,True,1000700
98,1,0,100,False,-100
99,1,100,750,False,-650
100,1,600,1200,True,-600
101,1,1400,1750,False,-350
102,1,2900,2950,False,-50
103,1,550,1150,True,-600
104,1,450,700,False,-250
105,1,-150,200,True,-350
106,1,-150,150,True,-300
107,1,1150,850,False,300
108,1,400,1150,True,-750
109,1,150,950,True,-800
110,1,1050,1800,True,-750
111,1,2950,-50,False,3000
112,1,1200,1400,False,-200
113,1,1750,1900,False,-150
114,1,-200,250,True,-450
115,1,300,450,False,-150
116,1,150,700,True,-550
117,1,200,-550,True,750
118,1,0,100,False,-100
119,1,250,450,False,-200
120,1,250,-150,False,400
121,1,600,650,True,-50
122,1,100,400,True,-300
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,-1550,True,2650
126,1,700,-1050,False,1750
127,1,0,200,True,-200
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,1200,True,-350
131,0,0,-1000000,True,1000000
132,1,150,300,False,-150
133,1,500,800,False,-300
134,1,600,850,False,-250
135,1,200,300,False,-100
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,150,False,300
139,1,-50,-800,True,750
140,1,800,50,False,750
141,1,650,900,False,-250
142,1,0,150,False,-150
143,1,300,200,False,100
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,600,True,300
147,1,600,100,False,500
148,0,500,-1000000,False,1000500
149,1,2400,450,False,1950
150,1,50,200,False,-150
151,1,1550,1650,True,-100
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,2300,False,-900
155,1,350,950,True,-600
156,1,2950,3250,True,-300
157,1,-400,550,False,-950
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1850,False,-350
161,0,2550,-1000000,False,1002550
162,1,800,1350,False,-550
163,1,650,350,True,300
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,350,True,-600
167,1,-50,650,True,-700
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,-1550,False,1850
171,1,0,500,True,-500
172,1,1350,1650,False,-300
173,1,550,550,False,0
174,1,0,-650,True,650
