,type,target,pred,barge_in,error
0,1,100,350,False,-250
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-700,False,950
6,0,2600,-1000000,True,1002600
7,1,-150,-850,False,700
8,1,200,-650,False,850
9,1,300,50,False,250
10,0,-100,-1000000,True,999900
11,1,450,1100,False,-650
12,1,800,300,False,500
13,1,2750,-450,False,3200
14,1,850,500,False,350
15,1,0,-1450,False,1450
16,1,700,300,True,400
17,1,150,350,False,-200
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,1,-200,400,False,-600
21,0,0,-1000000,True,1000000
22,0,50,-1000000,False,1000050
23,1,700,700,False,0
24,0,100,-1000000,True,1000100
25,1,1000,750,False,250
26,1,1250,600,False,650
27,1,-100,-500,True,400
28,0,-150,-1000000,True,999850
29,1,0,550,False,-550
30,1,350,-100,True,450
31,1,1300,1350,False,-50
32,1,100,450,True,-350
33,1,-100,300,True,-400
34,1,650,850,False,-200
35,0,150,-1000000,False,1000150
36,0,-100,-1000000,True,999900
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,600,False,-50
41,1,600,-100,False,700
42,1,1150,1150,False,0
43,1,100,850,False,-750
44,1,0,250,True,-250
45,1,100,250,False,-150
46,1,-250,-100,True,-150
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,-1200,False,800
50,1,0,100,False,-100
51,1,100,500,False,-400
52,1,750,850,False,-100
53,1,50,800,False,-750
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,1000,False,-100
57,0,-450,-1000000,True,999550
58,1,-50,400,True,-450
59,1,850,850,False,0
60,1,1250,1250,False,0
61,1,300,950,False,-650
62,1,0,650,True,-650
63,1,300,550,False,-250
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,50,False,200
67,1,1900,2350,False,-450
68,1,600,-450,True,1050
69,1,300,-500,False,800
70,1,2250,-150,False,2400
71,1,500,250,False,250
72,1,800,1450,False,-650
73,1,1400,1300,False,100
74,1,450,1200,True,-750
75,1,2200,2350,False,-150
76,1,2750,2350,False,400
77,1,400,450,False,-50
78,1,200,-4500,True,4700
79,1,200,-1100,False,1300
80,1,1450,-1150,False,2600
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1150,False,-100
84,1,1100,350,False,750
85,1,250,350,True,-100
86,1,1700,1550,False,150
87,1,50,350,False,-300
88,1,250,550,False,-300
89,1,-400,-1000,True,600
90,1,250,-1100,False,1350
91,1,600,800,False,-200
92,1,2450,-150,False,2600
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,200,False,-300
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,750,False,-650
100,1,600,350,True,250
101,1,1400,1850,False,-450
102,1,2900,2950,False,-50
103,1,550,1100,True,-550
104,1,450,700,False,-250
105,1,-150,400,True,-550
106,1,-150,0,True,-150
107,1,1150,250,False,900
108,1,400,750,True,-350
109,1,150,400,True,-250
110,1,1050,1150,True,-100
111,1,2950,0,False,2950
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,-1050,True,850
115,1,300,450,False,-150
116,0,150,-1000000,True,1000150
117,1,200,-550,True,750
118,0,0,-1000000,False,1000000
119,0,250,-1000000,False,1000250
120,1,250,-100,False,350
121,1,600,650,True,-50
122,1,100,150,True,-50
123,1,450,450,False,0
124,0,50,-1000000,True,1000050
125,1,1100,750,True,350
126,1,700,-1100,False,1800
127,1,0,700,True,-700
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,900,True,-50
131,0,0,-1000000,True,1000000
132,1,150,300,False,-150
133,1,500,800,False,-300
134,1,600,900,False,-300
135,1,200,250,False,-50
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,50,False,400
139,1,-50,400,True,-450
140,1,800,950,False,-150
141,1,650,1200,False,-550
142,0,0,-1000000,False,1000000
143,1,300,150,False,150
144,1,400,200,False,200
145,0,50,-1000000,False,1000050
146,1,900,150,True,750
147,1,600,100,False,500
148,1,500,-850,False,1350
149,1,2400,600,False,1800
150,1,50,100,False,-50
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,150,False,-150
154,1,1400,1500,False,-100
155,1,350,900,True,-550
156,1,2950,3050,True,-100
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,400,True,250
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,300,True,-550
167,1,-50,300,True,-350
168,1,1150,150,False,1000
169,0,-300,-1000000,True,999700
170,1,300,500,False,-200
171,0,0,-1000000,True,1000000
172,1,1350,1600,False,-250
173,1,550,550,False,0
174,1,0,-650,True,650
