,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,700,False,-500
9,1,300,50,False,250
10,0,-100,-1000000,True,999900
11,1,450,850,False,-400
12,1,800,600,False,200
13,1,2750,-100,False,2850
14,1,850,1250,False,-400
15,0,0,-1000000,False,1000000
16,1,700,450,True,250
17,1,150,1050,False,-900
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,1,-200,350,False,-550
21,0,0,-1000000,True,1000000
22,1,50,800,False,-750
23,1,700,700,False,0
24,1,100,750,True,-650
25,1,1000,1000,False,0
26,0,1250,-1000000,False,1001250
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,700,False,-700
30,1,350,800,True,-450
31,1,1300,1400,False,-100
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,800,False,-150
35,0,150,-1000000,False,1000150
36,0,-100,-1000000,True,999900
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,1250,True,50
40,1,550,600,False,-50
41,1,600,950,False,-350
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,700,True,-700
45,1,100,500,False,-400
46,0,-250,-1000000,True,999750
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,450,False,-850
50,1,0,150,False,-150
51,1,100,950,False,-850
52,1,750,850,False,-100
53,0,50,-1000000,False,1000050
54,1,300,950,False,-650
55,1,450,550,False,-100
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1700,False,-850
60,1,1250,1200,False,50
61,0,300,-1000000,False,1000300
62,1,0,600,True,-600
63,1,300,350,False,-50
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,500,False,-250
67,1,1900,2050,False,-150
68,1,600,700,True,-100
69,1,300,250,False,50
70,1,2250,950,False,1300
71,1,500,500,False,0
72,1,800,1500,False,-700
73,1,1400,750,False,650
74,0,450,-1000000,True,1000450
75,0,2200,-1000000,False,1002200
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,1,1450,1500,False,-50
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1200,False,-150
84,1,1100,-350,False,1450
85,1,250,400,True,-150
86,0,1700,-1000000,False,1001700
87,1,50,600,False,-550
88,0,250,-1000000,False,1000250
89,1,-400,50,True,-450
90,0,250,-1000000,False,1000250
91,1,600,900,False,-300
92,1,2450,2500,False,-50
93,1,850,1450,True,-600
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,250,False,-350
97,0,700,-1000000,True,1000700
98,1,0,150,False,-150
99,1,100,500,False,-400
100,1,600,1150,True,-550
101,1,1400,1700,False,-300
102,1,2900,2950,False,-50
103,1,550,1350,True,-800
104,1,450,650,False,-200
