,type,target,pred,barge_in,error
0,1,100,350,False,-250
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,1,600,750,True,-150
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,0,200,-1000000,False,1000200
9,1,300,300,False,0
10,1,-100,500,True,-600
11,1,450,950,False,-500
12,1,800,500,False,300
13,0,2750,-1000000,False,1002750
14,1,850,1000,False,-150
15,0,0,-1000000,False,1000000
16,1,700,300,True,400
17,1,150,300,False,-150
18,1,-50,350,True,-400
19,1,900,950,False,-50
20,1,-200,300,False,-500
21,0,0,-1000000,True,1000000
22,1,50,-2000,False,2050
23,1,700,500,False,200
24,0,100,-1000000,True,1000100
25,1,1000,600,False,400
26,1,1250,550,False,700
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,400,False,-400
30,0,350,-1000000,True,1000350
31,1,1300,150,False,1150
32,1,100,500,True,-400
33,1,-100,300,True,-400
34,1,650,850,False,-200
35,0,150,-1000000,False,1000150
36,1,-100,350,True,-450
37,0,0,-1000000,True,1000000
38,1,100,600,False,-500
39,0,1300,-1000000,True,1001300
40,1,550,300,False,250
41,0,600,-1000000,False,1000600
42,1,1150,1150,False,0
43,1,100,900,False,-800
44,1,0,250,True,-250
45,1,100,400,False,-300
46,1,-250,100,True,-350
47,0,550,-1000000,True,1000550
48,1,800,800,False,0
49,1,-400,400,False,-800
50,1,0,150,False,-150
51,1,100,500,False,-400
52,1,750,450,False,300
53,1,50,350,False,-300
54,1,300,650,False,-350
55,1,450,550,False,-100
56,1,900,450,False,450
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,0,850,-1000000,False,1000850
60,1,1250,750,False,500
61,1,300,400,False,-100
62,1,0,800,True,-800
63,1,300,400,False,-100
64,1,200,950,False,-750
65,1,0,400,False,-400
66,1,250,250,False,0
67,1,1900,950,False,950
68,1,600,700,True,-100
69,1,300,150,False,150
70,1,2250,600,False,1650
71,1,500,500,False,0
72,1,800,1500,False,-700
73,1,1400,950,False,450
74,1,450,550,True,-100
75,1,2200,1300,False,900
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1050,False,0
84,1,1100,1150,False,-50
85,0,250,-1000000,True,1000250
86,1,1700,1550,False,150
87,0,50,-1000000,False,1000050
88,1,250,450,False,-200
89,1,-400,50,True,-450
90,1,250,500,False,-250
91,0,600,-1000000,False,1000600
92,0,2450,-1000000,False,1002450
93,0,850,-1000000,True,1000850
94,1,400,1100,False,-700
95,1,450,250,False,200
96,1,-100,250,False,-350
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,700,False,-600
100,1,600,350,True,250
101,1,1400,1500,False,-100
102,1,2900,3000,False,-100
103,1,550,1300,True,-750
104,1,450,650,False,-200
105,1,-150,400,True,-550
106,0,-150,-1000000,True,999850
107,1,1150,850,False,300
108,0,400,-1000000,True,1000400
109,1,150,-1200,True,1350
110,1,1050,1850,True,-800
111,1,2950,0,False,2950
112,1,1200,1150,False,50
113,1,1750,1750,False,0
114,1,-200,300,True,-500
115,1,300,400,False,-100
116,1,150,700,True,-550
