,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,1,-200,550,True,-750
2,1,100,1050,True,-950
3,1,600,850,True,-250
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,50,False,-200
8,1,200,350,False,-150
9,1,300,100,False,200
10,0,-100,-1000000,True,999900
11,1,450,850,False,-400
12,1,800,300,False,500
13,0,2750,-1000000,False,1002750
14,1,850,1050,False,-200
15,0,0,-1000000,False,1000000
16,1,700,300,True,400
17,1,150,350,False,-200
18,1,-50,350,True,-400
19,1,900,1000,False,-100
20,1,-200,450,False,-650
21,0,0,-1000000,True,1000000
22,1,50,250,False,-200
23,1,700,700,False,0
24,0,100,-1000000,True,1000100
25,1,1000,650,False,350
26,0,1250,-1000000,False,1001250
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,600,False,-600
30,1,350,-150,True,500
31,1,1300,1400,False,-100
32,1,100,450,True,-350
33,1,-100,350,True,-450
34,1,650,900,False,-250
35,0,150,-1000000,False,1000150
36,1,-100,650,True,-750
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-100,True,1400
40,1,550,600,False,-50
41,0,600,-1000000,False,1000600
42,1,1150,1150,False,0
43,1,100,900,False,-800
44,0,0,-1000000,True,1000000
45,1,100,300,False,-200
46,1,-250,-100,True,-150
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,400,False,-800
50,1,0,100,False,-100
51,1,100,500,False,-400
52,1,750,850,False,-100
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,500,False,-50
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1750,False,-900
60,1,1250,1250,False,0
61,1,300,550,False,-250
62,1,0,650,True,-650
63,1,300,400,False,-100
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,200,False,50
67,1,1900,2200,False,-300
68,1,600,700,True,-100
69,1,300,150,False,150
70,1,2250,100,False,2150
71,1,500,500,False,0
72,1,800,850,False,-50
73,1,1400,750,False,650
74,0,450,-1000000,True,1000450
75,1,2200,2150,False,50
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,1,1450,1550,False,-100
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1100,False,-50
84,1,1100,200,False,900
85,1,250,350,True,-100
86,1,1700,1600,False,100
87,1,50,200,False,-150
88,1,250,600,False,-350
89,1,-400,450,True,-850
90,1,250,0,False,250
91,1,600,1250,False,-650
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,250,False,200
96,1,-100,250,False,-350
97,0,700,-1000000,True,1000700
98,0,0,-1000000,False,1000000
99,1,100,750,False,-650
100,1,600,1150,True,-550
101,1,1400,1750,False,-350
102,1,2900,2950,False,-50
103,1,550,1150,True,-600
104,1,450,700,False,-250
105,1,-150,350,True,-500
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,1100,True,-700
109,1,150,900,True,-750
110,1,1050,1800,True,-750
111,1,2950,50,False,2900
112,1,1200,1450,False,-250
113,1,1750,1950,False,-200
114,1,-200,150,True,-350
115,1,300,450,False,-150
116,1,150,650,True,-500
117,0,200,-1000000,True,1000200
118,1,0,900,False,-900
119,0,250,-1000000,False,1000250
120,1,250,500,False,-250
121,1,600,650,True,-50
122,1,100,300,True,-200
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,700,True,400
126,1,700,950,False,-250
127,1,0,850,True,-850
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,700,True,150
131,0,0,-1000000,True,1000000
132,1,150,400,False,-250
133,1,500,750,False,-250
134,1,600,900,False,-300
135,1,200,300,False,-100
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,250,False,200
139,1,-50,400,True,-450
140,1,800,0,False,800
141,0,650,-1000000,False,1000650
142,1,0,150,False,-150
143,1,300,200,False,100
144,1,400,450,False,-50
145,0,50,-1000000,False,1000050
146,1,900,350,True,550
147,1,600,850,False,-250
148,0,500,-1000000,False,1000500
149,1,2400,400,False,2000
150,1,50,200,False,-150
151,0,1550,-1000000,True,1001550
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,950,True,-600
156,1,2950,3200,True,-250
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,500,True,150
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,350,True,-600
167,0,-50,-1000000,True,999950
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,450,False,-150
171,0,0,-1000000,True,1000000
172,1,1350,1550,False,-200
173,1,550,550,False,0
174,0,0,-1000000,True,1000000
175,1,100,200,False,-100
176,1,-200,550,True,-750
177,1,100,1050,True,-950
178,1,600,850,True,-250
