,type,target,pred,barge_in,error
0,1,100,400,False,-300
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,700,False,-500
9,1,300,100,False,200
10,1,-100,500,True,-600
11,1,450,950,False,-500
12,1,800,300,False,500
13,0,2750,-1000000,False,1002750
14,1,850,1200,False,-350
15,0,0,-1000000,False,1000000
16,1,700,650,True,50
17,1,150,350,False,-200
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,1,-200,450,False,-650
21,0,0,-1000000,True,1000000
22,1,50,600,False,-550
23,1,700,900,False,-200
24,1,100,950,True,-850
25,1,1000,950,False,50
26,1,1250,0,False,1250
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,350,False,-350
30,1,350,-150,True,500
31,1,1300,1400,False,-100
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,900,False,-250
35,0,150,-1000000,False,1000150
36,1,-100,750,True,-850
37,0,0,-1000000,True,1000000
38,1,100,650,False,-550
39,1,1300,1300,True,0
40,1,550,1050,False,-500
41,0,600,-1000000,False,1000600
42,1,1150,1200,False,-50
43,0,100,-1000000,False,1000100
44,1,0,650,True,-650
45,1,100,350,False,-250
46,1,-250,300,True,-550
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,450,False,-850
50,1,0,150,False,-150
51,1,100,950,False,-850
52,1,750,850,False,-100
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,700,False,-250
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1550,False,-700
60,1,1250,1100,False,150
61,1,300,650,False,-350
62,1,0,750,True,-750
63,1,300,500,False,-200
64,1,200,1000,False,-800
65,0,0,-1000000,False,1000000
66,1,250,400,False,-150
67,1,1900,2400,False,-500
68,1,600,850,True,-250
69,1,300,150,False,150
70,1,2250,100,False,2150
71,1,500,600,False,-100
72,1,800,1150,False,-350
73,1,1400,1550,False,-150
74,0,450,-1000000,True,1000450
75,1,2200,2350,False,-150
76,1,2750,2650,False,100
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,1,1450,1450,False,0
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1300,False,-250
84,1,1100,1250,False,-150
85,1,250,400,True,-150
86,1,1700,1550,False,150
87,1,50,1000,False,-950
88,1,250,550,False,-300
89,1,-400,50,True,-450
90,1,250,-50,False,300
91,1,600,900,False,-300
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,1,400,1250,False,-850
95,1,450,200,False,250
96,1,-100,450,False,-550
97,0,700,-1000000,True,1000700
98,1,0,150,False,-150
99,1,100,750,False,-650
100,1,600,1200,True,-600
101,1,1400,1750,False,-350
102,1,2900,3000,False,-100
103,1,550,1350,True,-800
104,1,450,700,False,-250
105,1,-150,450,True,-600
106,1,-150,150,True,-300
107,1,1150,850,False,300
108,0,400,-1000000,True,1000400
109,1,150,900,True,-750
110,1,1050,1850,True,-800
111,1,2950,0,False,2950
112,1,1200,1400,False,-200
113,1,1750,1950,False,-200
114,1,-200,150,True,-350
115,1,300,550,False,-250
116,0,150,-1000000,True,1000150
117,1,200,50,True,150
118,0,0,-1000000,False,1000000
119,1,250,450,False,-200
120,1,250,500,False,-250
121,1,600,1150,True,-550
122,1,100,300,True,-200
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,800,True,300
126,1,700,950,False,-250
127,1,0,700,True,-700
128,1,1150,1250,False,-100
129,1,150,400,False,-250
130,1,850,1500,True,-650
131,0,0,-1000000,True,1000000
132,1,150,400,False,-250
133,1,500,1050,False,-550
134,1,600,900,False,-300
135,1,200,350,False,-150
136,1,200,450,False,-250
137,1,450,650,False,-200
138,1,450,100,False,350
139,0,-50,-1000000,True,999950
140,1,800,50,False,750
141,0,650,-1000000,False,1000650
142,0,0,-1000000,False,1000000
143,1,300,300,False,0
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,550,True,350
147,1,600,850,False,-250
148,0,500,-1000000,False,1000500
149,1,2400,600,False,1800
150,1,50,100,False,-50
151,1,1550,1950,True,-400
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1850,False,-450
155,1,350,950,True,-600
156,1,2950,3250,True,-300
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1850,False,-350
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,700,True,-50
164,1,1300,1300,False,0
165,1,400,500,False,-100
166,0,-250,-1000000,True,999750
167,0,-50,-1000000,True,999950
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,500,False,-200
171,0,0,-1000000,True,1000000
172,1,1350,1950,False,-600
173,1,550,550,False,0
174,0,0,-1000000,True,1000000
