,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,-800,False,650
8,1,200,-950,False,1150
9,1,300,100,False,200
10,1,-100,350,True,-450
11,1,450,800,False,-350
12,1,800,300,False,500
13,1,2750,100,False,2650
14,1,850,500,False,350
15,1,0,-1150,False,1150
16,1,700,500,True,200
17,1,150,350,False,-200
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,1,-200,150,False,-350
21,0,0,-1000000,True,1000000
22,1,50,1000,False,-950
23,1,700,750,False,-50
24,1,100,750,True,-650
25,1,1000,600,False,400
26,1,1250,-350,False,1600
27,0,-100,-1000000,True,999900
28,1,-150,-2450,True,2300
29,1,0,350,False,-350
30,1,350,-300,True,650
31,1,1300,1300,False,0
32,1,100,400,True,-300
33,0,-100,-1000000,True,999900
34,1,650,850,False,-200
35,1,150,300,False,-150
36,1,-100,550,True,-650
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,600,False,-50
41,1,600,-200,False,800
42,1,1150,1150,False,0
43,1,100,700,False,-600
44,1,0,150,True,-150
45,1,100,250,False,-150
46,1,-250,-100,True,-150
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,250,False,-650
50,1,0,100,False,-100
51,1,100,850,False,-750
52,1,750,900,False,-150
53,1,50,450,False,-400
54,0,300,-1000000,False,1000300
55,1,450,500,False,-50
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1550,False,-700
60,1,1250,1250,False,0
61,1,300,600,False,-300
62,1,0,600,True,-600
63,1,300,400,False,-100
64,1,200,300,False,-100
65,0,0,-1000000,False,1000000
66,1,250,250,False,0
67,1,1900,2100,False,-200
68,1,600,-400,True,1000
69,1,300,-500,False,800
70,1,2250,100,False,2150
71,1,500,300,False,200
72,1,800,1500,False,-700
73,1,1400,1700,False,-300
74,0,450,-1000000,True,1000450
75,1,2200,2300,False,-100
76,1,2750,2550,False,200
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,1,200,-1100,False,1300
80,1,1450,1600,False,-150
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1650,False,-600
84,1,1100,-300,False,1400
85,1,250,-500,True,750
86,1,1700,1450,False,250
87,1,50,100,False,-50
88,0,250,-1000000,False,1000250
89,1,-400,-1250,True,850
90,0,250,-1000000,False,1000250
91,1,600,-400,False,1000
92,1,2450,2550,False,-100
93,1,850,1400,True,-550
94,1,400,1150,False,-750
95,1,450,150,False,300
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,150,False,-150
99,1,100,500,False,-400
100,1,600,1150,True,-550
101,1,1400,1700,False,-300
102,1,2900,2900,False,0
103,1,550,1050,True,-500
104,1,450,750,False,-300
105,1,-150,400,True,-550
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,400,True,-250
110,0,1050,-1000000,True,1001050
111,1,2950,3000,False,-50
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,150,True,-350
115,1,300,450,False,-150
116,0,150,-1000000,True,1000150
117,1,200,-550,True,750
118,1,0,850,False,-850
119,0,250,-1000000,False,1000250
120,1,250,-100,False,350
121,1,600,650,True,-50
122,1,100,-200,True,300
123,1,450,500,False,-50
124,0,50,-1000000,True,1000050
125,1,1100,750,True,350
126,1,700,-1050,False,1750
127,1,0,650,True,-650
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,950,True,-100
131,1,0,450,True,-450
132,1,150,350,False,-200
133,1,500,550,False,-50
134,1,600,900,False,-300
135,1,200,200,False,0
136,1,200,350,False,-150
137,1,450,500,False,-50
138,1,450,50,False,400
139,1,-50,-800,True,750
140,1,800,900,False,-100
141,0,650,-1000000,False,1000650
142,0,0,-1000000,False,1000000
143,1,300,250,False,50
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,100,True,800
147,1,600,150,False,450
148,0,500,-1000000,False,1000500
149,1,2400,500,False,1900
150,1,50,200,False,-150
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,700,True,-350
156,1,2950,3200,True,-250
157,1,-400,550,False,-950
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1600,False,-100
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,400,True,250
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,200,True,-450
167,1,-50,450,True,-500
168,1,1150,1100,False,50
169,0,-300,-1000000,True,999700
170,1,300,-1650,False,1950
171,1,0,550,True,-550
172,1,1350,1600,False,-250
173,1,550,550,False,0
174,1,0,-700,True,700
