,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,0,-200,-1000000,True,999800
2,1,100,1050,True,-950
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,1,250,-600,False,850
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,450,False,-250
9,1,300,100,False,200
10,1,-100,300,True,-400
11,1,450,800,False,-350
12,1,800,450,False,350
13,1,2750,-500,False,3250
14,1,850,550,False,300
15,1,0,-1150,False,1150
16,1,700,500,True,200
17,1,150,350,False,-200
18,1,-50,450,True,-500
19,1,900,1000,False,-100
20,1,-200,500,False,-700
21,0,0,-1000000,True,1000000
22,1,50,250,False,-200
23,0,700,-1000000,False,1000700
24,1,100,750,True,-650
25,1,1000,700,False,300
26,1,1250,0,False,1250
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,550,False,-550
30,1,350,-300,True,650
31,1,1300,1400,False,-100
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,900,False,-250
35,0,150,-1000000,False,1000150
36,1,-100,750,True,-850
37,0,0,-1000000,True,1000000
38,1,100,350,False,-250
39,1,1300,-1400,True,2700
40,1,550,1150,False,-600
41,1,600,50,False,550
42,1,1150,1200,False,-50
43,1,100,750,False,-650
44,1,0,300,True,-300
45,1,100,300,False,-200
46,1,-250,250,True,-500
47,1,550,1450,True,-900
48,1,800,850,False,-50
49,1,-400,450,False,-850
50,1,0,300,False,-300
51,1,100,1050,False,-950
52,1,750,1200,False,-450
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,600,False,-150
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1800,False,-950
60,1,1250,1200,False,50
61,1,300,1100,False,-800
62,1,0,700,True,-700
63,1,300,500,False,-200
64,1,200,1000,False,-800
65,0,0,-1000000,False,1000000
66,1,250,700,False,-450
67,1,1900,2450,False,-550
68,1,600,1050,True,-450
69,0,300,-1000000,False,1000300
70,1,2250,1000,False,1250
71,1,500,600,False,-100
72,1,800,1150,False,-350
73,1,1400,1750,False,-350
74,1,450,-2650,True,3100
75,1,2200,2250,False,-50
76,1,2750,2300,False,450
77,1,400,550,False,-150
78,1,200,-4350,True,4550
79,1,200,-1100,False,1300
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1150,False,-100
84,1,1100,450,False,650
85,1,250,400,True,-150
86,1,1700,1400,False,300
87,1,50,350,False,-300
88,1,250,600,False,-350
89,1,-400,-1050,True,650
90,0,250,-1000000,False,1000250
91,1,600,700,False,-100
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,1,400,1350,False,-950
95,1,450,150,False,300
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,750,False,-650
100,1,600,1200,True,-600
101,1,1400,1950,False,-550
102,1,2900,3050,False,-150
103,1,550,1350,True,-800
104,1,450,750,False,-300
105,1,-150,200,True,-350
106,1,-150,200,True,-350
107,1,1150,900,False,250
108,1,400,750,True,-350
109,0,150,-1000000,True,1000150
110,1,1050,1850,True,-800
111,1,2950,0,False,2950
112,1,1200,1550,False,-350
113,1,1750,2050,False,-300
114,1,-200,150,True,-350
115,1,300,550,False,-250
116,0,150,-1000000,True,1000150
117,1,200,-500,True,700
118,0,0,-1000000,False,1000000
119,0,250,-1000000,False,1000250
120,1,250,750,False,-500
121,1,600,650,True,-50
122,1,100,400,True,-300
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,800,True,300
126,1,700,-950,False,1650
127,1,0,600,True,-600
128,1,1150,1350,False,-200
129,1,150,500,False,-350
130,1,850,1000,True,-150
131,0,0,-1000000,True,1000000
132,1,150,400,False,-250
133,1,500,800,False,-300
134,1,600,950,False,-350
135,1,200,300,False,-100
136,1,200,350,False,-150
137,1,450,650,False,-200
138,1,450,200,False,250
139,1,-50,350,True,-400
140,1,800,950,False,-150
141,0,650,-1000000,False,1000650
142,1,0,200,False,-200
143,1,300,350,False,-50
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,650,True,250
147,1,600,150,False,450
148,0,500,-1000000,False,1000500
149,1,2400,500,False,1900
150,1,50,150,False,-100
151,1,1550,1700,True,-150
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,950,True,-600
156,1,2950,3300,True,-350
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1950,False,-450
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,350,True,300
164,1,1300,-450,False,1750
165,1,400,550,False,-150
166,0,-250,-1000000,True,999750
167,0,-50,-1000000,True,999950
168,1,1150,1200,False,-50
169,0,-300,-1000000,True,999700
170,1,300,-1650,False,1950
171,1,0,550,True,-550
172,1,1350,1600,False,-250
173,1,550,600,False,-50
174,1,0,-650,True,650
