,type,target,pred,barge_in,error
0,1,100,250,False,-150
1,1,-200,550,True,-750
2,1,100,950,True,-850
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-650,False,900
6,0,2600,-1000000,True,1002600
7,1,-150,-750,False,600
8,1,200,-750,False,950
9,1,300,0,False,300
10,1,-100,300,True,-400
11,1,450,850,False,-400
12,1,800,350,False,450
13,1,2750,-400,False,3150
14,1,850,350,False,500
15,1,0,-1150,False,1150
16,1,700,300,True,400
17,1,150,1100,False,-950
18,1,-50,550,True,-600
19,1,900,1000,False,-100
20,1,-200,450,False,-650
21,0,0,-1000000,True,1000000
22,0,50,-1000000,False,1000050
23,0,700,-1000000,False,1000700
24,0,100,-1000000,True,1000100
25,1,1000,1100,False,-100
26,1,1250,650,False,600
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,500,False,-500
30,1,350,0,True,350
31,1,1300,1350,False,-50
32,1,100,-550,True,650
33,1,-100,400,True,-500
34,1,650,900,False,-250
35,1,150,300,False,-150
36,1,-100,550,True,-650
37,0,0,-1000000,True,1000000
38,1,100,350,False,-250
39,1,1300,-1450,True,2750
40,1,550,600,False,-50
41,1,600,-150,False,750
42,1,1150,1200,False,-50
43,1,100,-250,False,350
44,1,0,300,True,-300
45,1,100,150,False,-50
46,1,-250,100,True,-350
47,0,550,-1000000,True,1000550
48,1,800,850,False,-50
49,1,-400,-1450,False,1050
50,1,0,-350,False,350
51,1,100,500,False,-400
52,1,750,900,False,-150
53,1,50,-1050,False,1100
54,0,300,-1000000,False,1000300
55,1,450,-250,False,700
56,1,900,1000,False,-100
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1750,False,-900
60,1,1250,1500,False,-250
61,1,300,700,False,-400
62,1,0,650,True,-650
63,1,300,-200,False,500
64,1,200,850,False,-650
65,0,0,-1000000,False,1000000
66,1,250,200,False,50
67,1,1900,2750,False,-850
68,1,600,700,True,-100
69,1,300,150,False,150
70,1,2250,150,False,2100
71,1,500,300,False,200
72,1,800,1600,False,-800
73,1,1400,1800,False,-400
74,1,450,-2650,True,3100
75,1,2200,2350,False,-150
76,1,2750,2650,False,100
77,1,400,500,False,-100
78,1,200,-4500,True,4700
79,1,200,-1100,False,1300
80,1,1450,-1150,False,2600
81,1,600,-4500,True,5100
82,0,850,-1000000,False,1000850
83,0,1050,-1000000,False,1001050
84,1,1100,-300,False,1400
85,1,250,350,True,-100
86,1,1700,1550,False,150
87,1,50,200,False,-150
88,1,250,250,False,0
89,1,-400,-100,True,-300
90,1,250,250,False,0
91,1,600,950,False,-350
92,1,2450,-150,False,2600
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,0,False,450
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,50,False,50
100,1,600,950,True,-350
101,1,1400,1750,False,-350
102,1,2900,2950,False,-50
103,1,550,1100,True,-550
104,1,450,-50,False,500
105,0,-150,-1000000,True,999850
106,1,-150,100,True,-250
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,500,True,-350
110,1,1050,1100,True,-50
111,1,2950,-50,False,3000
112,1,1200,-550,False,1750
113,1,1750,1950,False,-200
114,1,-200,-1000,True,800
115,1,300,450,False,-150
116,0,150,-1000000,True,1000150
117,1,200,-500,True,700
118,1,0,900,False,-900
119,1,250,-150,False,400
120,1,250,-250,False,500
121,1,600,650,True,-50
122,1,100,-150,True,250
123,1,450,500,False,-50
124,1,50,850,True,-800
125,1,1100,1150,True,-50
126,1,700,-1100,False,1800
127,1,0,550,True,-550
128,1,1150,1200,False,-50
129,1,150,-350,False,500
130,1,850,700,True,150
131,0,0,-1000000,True,1000000
132,1,150,-100,False,250
133,1,500,600,False,-100
134,1,600,900,False,-300
135,1,200,150,False,50
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,-50,False,500
139,1,-50,-850,True,800
140,1,800,0,False,800
141,1,650,1100,False,-450
142,1,0,700,False,-700
143,1,300,550,False,-250
144,1,400,250,False,150
145,0,50,-1000000,False,1000050
146,1,900,100,True,800
147,1,600,900,False,-300
148,0,500,-1000000,False,1000500
149,1,2400,550,False,1850
150,1,50,150,False,-100
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,-50,False,50
154,1,1400,1450,False,-50
155,1,350,750,True,-400
156,1,2950,3050,True,-100
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1350,False,-550
163,1,650,350,True,300
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,300,True,-550
167,1,-50,50,True,-100
168,1,1150,50,False,1100
169,0,-300,-1000000,True,999700
170,1,300,400,False,-100
171,1,0,400,True,-400
172,1,1350,1600,False,-250
173,1,550,0,False,550
174,1,0,-650,True,650
