,type,target,pred,barge_in,error
0,1,100,350,False,-250
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,1,600,700,True,-100
4,0,-150,-1000000,True,999850
5,1,250,150,False,100
6,0,2600,-1000000,True,1002600
7,1,-150,300,False,-450
8,1,200,300,False,-100
9,1,300,350,False,-50
10,0,-100,-1000000,True,999900
11,1,450,850,False,-400
12,1,800,550,False,250
13,0,2750,-1000000,False,1002750
14,1,850,1050,False,-200
15,1,0,600,False,-600
16,1,700,650,True,50
17,1,150,400,False,-250
18,0,-50,-1000000,True,999950
19,1,900,1100,False,-200
20,1,-200,450,False,-650
21,0,0,-1000000,True,1000000
22,0,50,-1000000,False,1000050
23,1,700,700,False,0
24,0,100,-1000000,True,1000100
25,1,1000,500,False,500
26,1,1250,600,False,650
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,0,0,-1000000,False,1000000
30,0,350,-1000000,True,1000350
31,1,1300,250,False,1050
32,1,100,550,True,-450
33,1,-100,350,True,-450
34,1,650,750,False,-100
35,0,150,-1000000,False,1000150
36,0,-100,-1000000,True,999900
37,0,0,-1000000,True,1000000
38,1,100,400,False,-300
39,0,1300,-1000000,True,1001300
40,1,550,1000,False,-450
41,0,600,-1000000,False,1000600
42,1,1150,1200,False,-50
43,1,100,750,False,-650
44,1,0,250,True,-250
45,1,100,400,False,-300
46,1,-250,150,True,-400
47,1,550,950,True,-400
48,1,800,850,False,-50
49,1,-400,450,False,-850
50,1,0,300,False,-300
51,1,100,550,False,-450
52,1,750,550,False,200
53,1,50,400,False,-350
54,1,300,600,False,-300
55,1,450,600,False,-150
56,1,900,650,False,250
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,0,850,-1000000,False,1000850
60,1,1250,400,False,850
61,1,300,400,False,-100
62,1,0,750,True,-750
63,1,300,400,False,-100
64,1,200,800,False,-600
65,0,0,-1000000,False,1000000
66,1,250,300,False,-50
67,1,1900,850,False,1050
68,1,600,800,True,-200
69,1,300,200,False,100
70,1,2250,750,False,1500
71,1,500,500,False,0
72,1,800,1250,False,-450
73,1,1400,950,False,450
74,0,450,-1000000,True,1000450
75,0,2200,-1000000,False,1002200
76,1,2750,2300,False,450
77,1,400,500,False,-100
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1150,False,-100
84,1,1100,1200,False,-100
85,0,250,-1000000,True,1000250
86,1,1700,1550,False,150
87,1,50,300,False,-250
88,1,250,600,False,-350
89,1,-400,350,True,-750
90,0,250,-1000000,False,1000250
91,0,600,-1000000,False,1000600
92,0,2450,-1000000,False,1002450
93,0,850,-1000000,True,1000850
94,1,400,1150,False,-750
95,1,450,700,False,-250
96,1,-100,300,False,-400
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,500,False,-400
100,1,600,400,True,200
101,1,1400,1550,False,-150
102,1,2900,3050,False,-150
103,1,550,1150,True,-600
104,1,450,650,False,-200
105,1,-150,400,True,-550
106,1,-150,200,True,-350
107,1,1150,900,False,250
108,0,400,-1000000,True,1000400
109,0,150,-1000000,True,1000150
110,1,1050,1900,True,-850
111,1,2950,200,False,2750
112,1,1200,1450,False,-250
113,1,1750,1900,False,-150
114,1,-200,300,True,-500
115,1,300,500,False,-200
116,1,150,500,True,-350
117,1,200,100,True,100
118,1,0,850,False,-850
119,0,250,-1000000,False,1000250
120,1,250,600,False,-350
121,1,600,650,True,-50
122,0,100,-1000000,True,1000100
123,0,450,-1000000,False,1000450
124,0,50,-1000000,True,1000050
125,1,1100,450,True,650
126,1,700,950,False,-250
127,1,0,250,True,-250
128,0,1150,-1000000,False,1001150
129,1,150,400,False,-250
130,1,850,950,True,-100
131,0,0,-1000000,True,1000000
132,1,150,350,False,-200
133,1,500,600,False,-100
134,1,600,850,False,-250
135,1,200,400,False,-200
136,1,200,400,False,-200
137,1,450,500,False,-50
138,1,450,550,False,-100
139,1,-50,350,True,-400
140,1,800,900,False,-100
141,0,650,-1000000,False,1000650
142,1,0,200,False,-200
143,1,300,350,False,-50
144,1,400,500,False,-100
145,1,50,400,False,-350
146,1,900,600,True,300
147,1,600,900,False,-300
148,0,500,-1000000,False,1000500
149,0,2400,-1000000,False,1002400
150,1,50,600,False,-550
151,0,1550,-1000000,True,1001550
152,1,0,250,False,-250
153,1,0,250,False,-250
154,0,1400,-1000000,False,1001400
155,1,350,950,True,-600
156,0,2950,-1000000,True,1002950
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1600,False,-100
161,0,2550,-1000000,False,1002550
162,1,800,1000,False,-200
163,1,650,400,True,250
164,1,1300,1900,False,-600
165,1,400,500,False,-100
166,0,-250,-1000000,True,999750
167,0,-50,-1000000,True,999950
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,500,False,-200
171,0,0,-1000000,True,1000000
172,1,1350,2250,False,-900
173,1,550,600,False,-50
174,1,0,50,True,-50
