,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,0,-200,-1000000,True,999800
2,0,100,-1000000,True,1000100
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-400,False,650
6,0,2600,-1000000,True,1002600
7,1,-150,-750,False,600
8,1,200,400,False,-200
9,1,300,100,False,200
10,0,-100,-1000000,True,999900
11,1,450,850,False,-400
12,1,800,350,False,450
13,1,2750,-400,False,3150
14,1,850,1350,False,-500
15,1,0,-1350,False,1350
16,1,700,500,True,200
17,1,150,400,False,-250
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,1,-200,350,False,-550
21,0,0,-1000000,True,1000000
22,1,50,650,False,-600
23,1,700,750,False,-50
24,1,100,750,True,-650
25,1,1000,850,False,150
26,1,1250,-150,False,1400
27,0,-100,-1000000,True,999900
28,1,-150,-2300,True,2150
29,1,0,350,False,-350
30,1,350,-250,True,600
31,1,1300,1350,False,-50
32,1,100,500,True,-400
33,0,-100,-1000000,True,999900
34,1,650,850,False,-200
35,0,150,-1000000,False,1000150
36,1,-100,600,True,-700
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,600,False,-50
41,0,600,-1000000,False,1000600
42,1,1150,-450,False,1600
43,1,100,750,False,-650
44,1,0,300,True,-300
45,1,100,300,False,-200
46,1,-250,-50,True,-200
47,1,550,1450,True,-900
48,1,800,800,False,0
49,1,-400,500,False,-900
50,1,0,250,False,-250
51,1,100,550,False,-450
52,1,750,850,False,-100
53,1,50,200,False,-150
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,750,False,100
60,1,1250,1200,False,50
61,1,300,400,False,-100
62,1,0,650,True,-650
63,1,300,400,False,-100
64,1,200,950,False,-750
65,0,0,-1000000,False,1000000
66,1,250,250,False,0
67,1,1900,2150,False,-250
68,1,600,700,True,-100
69,1,300,-600,False,900
70,1,2250,100,False,2150
71,1,500,350,False,150
72,1,800,1500,False,-700
73,0,1400,-1000000,False,1001400
74,0,450,-1000000,True,1000450
75,0,2200,-1000000,False,1002200
76,1,2750,2350,False,400
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,1,200,-1050,False,1250
80,1,1450,-1100,False,2550
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1250,False,-200
84,1,1100,100,False,1000
85,1,250,350,True,-100
86,1,1700,1800,False,-100
87,1,50,100,False,-50
88,1,250,450,False,-200
89,1,-400,-1050,True,650
90,0,250,-1000000,False,1000250
91,1,600,750,False,-150
92,1,2450,2550,False,-100
93,1,850,1400,True,-550
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,150,False,-150
99,1,100,750,False,-650
100,1,600,1150,True,-550
101,1,1400,1550,False,-150
102,1,2900,2950,False,-50
103,1,550,1100,True,-550
104,1,450,700,False,-250
105,1,-150,400,True,-550
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,900,True,-750
110,1,1050,1850,True,-800
111,1,2950,-50,False,3000
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,-1500,True,1300
115,1,300,450,False,-150
116,1,150,650,True,-500
117,1,200,-550,True,750
118,1,0,850,False,-850
119,0,250,-1000000,False,1000250
120,1,250,450,False,-200
121,1,600,750,True,-150
122,1,100,-200,True,300
123,1,450,500,False,-50
124,1,50,900,True,-850
125,1,1100,750,True,350
126,1,700,-1050,False,1750
127,1,0,200,True,-200
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,950,True,-100
131,0,0,-1000000,True,1000000
132,1,150,350,False,-200
133,1,500,550,False,-50
134,1,600,900,False,-300
135,1,200,250,False,-50
136,1,200,350,False,-150
137,1,450,500,False,-50
138,1,450,100,False,350
139,1,-50,-800,True,750
140,1,800,900,False,-100
141,1,650,1200,False,-550
142,1,0,100,False,-100
143,1,300,200,False,100
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,500,True,400
147,1,600,150,False,450
148,1,500,-1300,False,1800
149,1,2400,600,False,1800
150,1,50,150,False,-100
151,1,1550,1650,True,-100
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,950,True,-600
156,1,2950,3100,True,-150
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1600,False,-100
161,0,2550,-1000000,False,1002550
162,1,800,1300,False,-500
163,1,650,300,True,350
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,350,True,-600
167,1,-50,600,True,-650
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,-1500,False,1800
171,1,0,500,True,-500
172,1,1350,1400,False,-50
173,1,550,550,False,0
174,1,0,-700,True,700
