,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,1,-200,550,True,-750
2,1,100,1050,True,-950
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,1,250,-650,False,900
6,0,2600,-1000000,True,1002600
7,1,-150,-850,False,700
8,1,200,-950,False,1150
9,1,300,50,False,250
10,0,-100,-1000000,True,999900
11,1,450,750,False,-300
12,1,800,300,False,500
13,1,2750,-550,False,3300
14,1,850,500,False,350
15,1,0,-1350,False,1350
16,1,700,500,True,200
17,1,150,350,False,-200
18,1,-50,50,True,-100
19,1,900,950,False,-50
20,1,-200,150,False,-350
21,0,0,-1000000,True,1000000
22,1,50,700,False,-650
23,1,700,700,False,0
24,1,100,750,True,-650
25,1,1000,550,False,450
26,1,1250,-350,False,1600
27,1,-100,-450,True,350
28,0,-150,-1000000,True,999850
29,1,0,300,False,-300
30,1,350,800,True,-450
31,1,1300,1350,False,-50
32,1,100,450,True,-350
33,1,-100,350,True,-450
34,1,650,850,False,-200
35,1,150,300,False,-150
36,1,-100,600,True,-700
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,600,False,-50
41,1,600,50,False,550
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,100,True,-100
45,1,100,250,False,-150
46,1,-250,150,True,-400
47,1,550,1400,True,-850
48,1,800,800,False,0
49,1,-400,300,False,-700
50,1,0,100,False,-100
51,1,100,500,False,-400
52,1,750,850,False,-100
53,1,50,350,False,-300
54,0,300,-1000000,False,1000300
55,1,450,250,False,200
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,1,-50,400,True,-450
59,1,850,1700,False,-850
60,1,1250,1250,False,0
61,1,300,600,False,-300
62,1,0,100,True,-100
63,1,300,400,False,-100
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,50,False,200
67,1,1900,2100,False,-200
68,1,600,100,True,500
69,1,300,-500,False,800
70,1,2250,100,False,2150
71,1,500,300,False,200
72,1,800,300,False,500
73,1,1400,1750,False,-350
74,1,450,-2750,True,3200
75,1,2200,2200,False,0
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,1,200,-4500,True,4700
79,1,200,-1100,False,1300
80,1,1450,-1150,False,2600
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1100,False,-50
84,1,1100,-350,False,1450
85,1,250,350,True,-100
86,1,1700,1450,False,250
87,1,50,100,False,-50
88,1,250,400,False,-150
89,1,-400,-1050,True,650
90,1,250,-1100,False,1350
91,1,600,-400,False,1000
92,1,2450,-150,False,2600
93,1,850,1400,True,-550
94,0,400,-1000000,False,1000400
95,1,450,0,False,450
96,1,-100,100,False,-200
97,1,700,850,True,-150
98,1,0,100,False,-100
99,1,100,750,False,-650
100,1,600,400,True,200
101,1,1400,1750,False,-350
102,1,2900,2950,False,-50
103,1,550,1050,True,-500
104,1,450,750,False,-300
105,1,-150,150,True,-300
106,1,-150,50,True,-200
107,1,1150,250,False,900
108,1,400,750,True,-350
109,1,150,-1050,True,1200
110,1,1050,1750,True,-700
111,1,2950,-50,False,3000
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,-1050,True,850
115,1,300,450,False,-150
116,1,150,700,True,-550
117,1,200,-550,True,750
118,1,0,100,False,-100
119,0,250,-1000000,False,1000250
120,1,250,-150,False,400
121,1,600,200,True,400
122,1,100,-200,True,300
123,1,450,450,False,0
124,1,50,850,True,-800
125,1,1100,700,True,400
126,1,700,-1100,False,1800
127,1,0,200,True,-200
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,700,True,150
131,1,0,450,True,-450
132,1,150,350,False,-200
133,1,500,550,False,-50
134,1,600,900,False,-300
135,1,200,-500,False,700
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,50,False,400
139,1,-50,-800,True,750
140,1,800,50,False,750
141,1,650,1150,False,-500
142,1,0,100,False,-100
143,1,300,150,False,150
144,1,400,250,False,150
145,0,50,-1000000,False,1000050
146,1,900,100,True,800
147,1,600,50,False,550
148,1,500,-1300,False,1800
149,1,2400,450,False,1950
150,1,50,100,False,-50
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,900,True,-550
156,1,2950,3250,True,-300
157,1,-400,100,False,-500
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,350,True,300
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,300,True,-550
167,1,-50,300,True,-350
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,450,False,-150
171,1,0,500,True,-500
172,1,1350,1400,False,-50
173,1,550,550,False,0
174,1,0,-700,True,700
