start,end,spk,turn_id_user,dialog_acts_user
9170,17340,0,,
18320,21010,0,,
23990,24320,0,,
33860,34080,0,,
36110,39890,0,,
41020,42330,0,,
52640,55370,0,,
57390,59320,0,,
61880,62640,0,,
66540,67250,0,,
80190,81000,0,,
106450,110290,0,,
112730,113370,0,,
118270,122050,0,,
196200,196970,0,,
204180,204400,0,,
220050,220970,0,,
226330,227690,0,,
228460,234160,0,,
237730,238010,0,,
257600,257880,0,,
279570,279800,0,,
290550,290860,0,,
292840,293230,0,,
299100,309760,0,,
317740,318700,0,,
328960,330340,0,,
332560,334430,0,,
347140,348660,0,,
364030,364250,0,,
403130,403700,0,,
404640,404850,0,,
408840,409090,0,,
409780,414120,0,,
414930,416030,0,,
449600,449820,0,,
457710,458130,0,,
459240,463250,0,,
487110,487880,0,,
490570,490780,0,,
498820,501650,0,,
507870,512010,0,,
516530,519240,0,,
520430,520700,0,,
528200,528460,0,,
531060,533040,0,,
533950,536600,0,,
537450,537670,0,,
547940,548800,0,,
559690,560740,0,,
563470,564760,0,,
580810,582810,0,,
588880,589100,0,,
593710,593930,0,,
599140,599850,0,,
617780,618980,0,,
644660,645130,0,,
652040,653770,0,,
654850,655160,0,,
657100,658080,0,,
670940,673010,0,,
673850,675590,0,,
680740,681640,0,,
701430,702250,0,,
712410,713160,0,,
715320,717020,0,,
