start,end,spk,turn_id_user,dialog_acts_user
8530,8660,0,,
9010,12570,0,,
13150,14320,0,,
14640,17350,0,,
18310,21030,0,,
23980,24330,0,,
28540,28740,0,,
33830,34090,0,,
35030,35110,0,,
36100,39900,0,,
41010,42340,0,,
50220,50450,0,,
52620,54290,0,,
54510,55440,0,,
57190,59340,0,,
61020,61210,0,,
61860,62650,0,,
66530,67320,0,,
79040,79290,0,,
80180,81020,0,,
100380,100580,0,,
102210,102380,0,,
105180,105400,0,,
105900,106090,0,,
106440,110300,0,,
112710,113380,0,,
118260,119790,0,,
120210,122060,0,,
132780,133020,0,,
163770,164150,0,,
190260,190420,0,,
191740,191870,0,,
196180,197000,0,,
198000,198150,0,,
204170,204410,0,,
214090,214330,0,,
220020,220450,0,,
220670,220990,0,,
226320,227010,0,,
227420,227700,0,,
228450,230220,0,,
230450,233100,0,,
233560,234220,0,,
237720,238020,0,,
257580,257900,0,,
276460,276660,0,,
279540,279820,0,,
282290,282490,0,,
283570,283680,0,,
290540,290870,0,,
292820,293260,0,,
299090,304560,0,,
305060,306130,0,,
306370,307150,0,,
307630,309810,0,,
315310,315540,0,,
317730,318710,0,,
319630,319860,0,,
328930,329520,0,,
330080,330350,0,,
330650,330900,0,,
331930,332080,0,,
332780,333640,0,,
333840,334490,0,,
338430,338650,0,,
347120,347930,0,,
348240,348700,0,,
364020,364270,0,,
369120,369280,0,,
400280,400430,0,,
403010,403710,0,,
404630,404880,0,,
406720,407000,0,,
407500,407600,0,,
408780,409220,0,,
409770,411740,0,,
412170,413220,0,,
413750,414140,0,,
414920,416050,0,,
416250,416440,0,,
425350,425590,0,,
449540,449830,0,,
457700,458150,0,,
458980,459720,0,,
459930,461870,0,,
462220,463260,0,,
482360,482570,0,,
487090,487890,0,,
488230,488390,0,,
490560,490790,0,,
494480,494670,0,,
498810,499790,0,,
499980,500540,0,,
500760,501670,0,,
504580,504800,0,,
507860,510640,0,,
511200,511330,0,,
511600,512020,0,,
516820,518960,0,,
520420,520720,0,,
528180,528470,0,,
531170,531400,0,,
531880,533050,0,,
533890,536290,0,,
536490,536620,0,,
537440,537680,0,,
547920,548150,0,,
548370,548840,0,,
550110,550340,0,,
551530,551760,0,,
556910,557140,0,,
559670,560750,0,,
563450,563730,0,,
564220,564770,0,,
566040,566160,0,,
573660,573800,0,,
577290,577500,0,,
580800,582170,0,,
582560,582840,0,,
588860,589110,0,,
593690,593970,0,,
597050,597210,0,,
599130,599840,0,,
602300,602450,0,,
604570,604790,0,,
608620,608730,0,,
617770,619000,0,,
619580,619680,0,,
625320,625540,0,,
640570,640800,0,,
644130,644340,0,,
644530,645150,0,,
652000,652970,0,,
653360,653850,0,,
654140,654330,0,,
654840,655170,0,,
655820,655990,0,,
657090,657880,0,,
665850,666050,0,,
670930,673020,0,,
673830,675600,0,,
680720,681650,0,,
682160,682410,0,,
695620,695810,0,,
699940,700120,0,,
701420,702260,0,,
704580,704760,0,,
706010,706200,0,,
711560,711680,0,,
712350,713170,0,,
714250,714370,0,,
715300,716000,0,,
716280,717030,0,,
