,type,target,pred,barge_in,error
0,1,100,400,False,-300
1,1,-200,600,True,-800
2,1,100,1050,True,-950
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-500,False,750
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,400,False,-200
9,1,300,100,False,200
10,0,-100,-1000000,True,999900
11,1,450,800,False,-350
12,1,800,300,False,500
13,1,2750,-600,False,3350
14,1,850,600,False,250
15,1,0,-1150,False,1150
16,1,700,750,True,-50
17,1,150,350,False,-200
18,1,-50,350,True,-400
19,1,900,1000,False,-100
20,1,-200,550,False,-750
21,0,0,-1000000,True,1000000
22,1,50,200,False,-150
23,0,700,-1000000,False,1000700
24,1,100,700,True,-600
25,1,1000,750,False,250
26,1,1250,0,False,1250
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,400,False,-400
30,1,350,-400,True,750
31,1,1300,1450,False,-150
32,1,100,500,True,-400
33,0,-100,-1000000,True,999900
34,1,650,850,False,-200
35,0,150,-1000000,False,1000150
36,0,-100,-1000000,True,999900
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1450,True,2750
40,1,550,1100,False,-550
41,1,600,-200,False,800
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,250,True,-250
45,1,100,400,False,-300
46,1,-250,300,True,-550
47,1,550,1400,True,-850
48,1,800,800,False,0
49,1,-400,500,False,-900
50,1,0,250,False,-250
51,1,100,1000,False,-900
52,1,750,950,False,-200
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,200,False,250
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,0,850,-1000000,False,1000850
60,1,1250,600,False,650
61,1,300,600,False,-300
62,1,0,650,True,-650
63,1,300,500,False,-200
64,1,200,950,False,-750
65,0,0,-1000000,False,1000000
66,1,250,500,False,-250
67,1,1900,2400,False,-500
68,1,600,850,True,-250
69,1,300,450,False,-150
70,1,2250,150,False,2100
71,1,500,600,False,-100
72,1,800,1150,False,-350
73,1,1400,1550,False,-150
74,1,450,-2550,True,3000
75,1,2200,-150,False,2350
76,1,2750,2750,False,0
77,1,400,450,False,-50
78,1,200,-4450,True,4650
79,1,200,-900,False,1100
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1050,False,0
84,1,1100,200,False,900
85,1,250,400,True,-150
86,1,1700,1550,False,150
87,1,50,150,False,-100
88,1,250,550,False,-300
89,1,-400,-1000,True,600
90,1,250,-1050,False,1300
91,0,600,-1000000,False,1000600
92,1,2450,-150,False,2600
93,0,850,-1000000,True,1000850
94,1,400,1350,False,-950
95,1,450,200,False,250
96,1,-100,150,False,-250
97,0,700,-1000000,True,1000700
98,1,0,150,False,-150
99,1,100,750,False,-650
100,1,600,1250,True,-650
101,1,1400,1750,False,-350
102,1,2900,3000,False,-100
103,1,550,1150,True,-600
104,0,450,-1000000,False,1000450
105,1,-150,450,True,-600
106,1,-150,150,True,-300
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,900,True,-750
110,1,1050,1900,True,-850
111,1,2950,-50,False,3000
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,150,True,-350
115,1,300,550,False,-250
116,1,150,700,True,-550
117,1,200,-450,True,650
118,0,0,-1000000,False,1000000
119,1,250,450,False,-200
120,1,250,600,False,-350
121,1,600,650,True,-50
122,1,100,-200,True,300
123,0,450,-1000000,False,1000450
124,1,50,850,True,-800
125,1,1100,750,True,350
126,1,700,-1000,False,1700
127,1,0,200,True,-200
128,1,1150,1250,False,-100
129,1,150,350,False,-200
130,1,850,650,True,200
131,0,0,-1000000,True,1000000
132,1,150,350,False,-200
133,1,500,750,False,-250
134,1,600,900,False,-300
135,1,200,-500,False,700
136,1,200,350,False,-150
137,1,450,650,False,-200
138,1,450,50,False,400
139,1,-50,-850,True,800
140,1,800,50,False,750
141,1,650,1100,False,-450
142,1,0,150,False,-150
143,1,300,300,False,0
144,1,400,500,False,-100
145,1,50,900,False,-850
146,1,900,600,True,300
147,1,600,850,False,-250
148,0,500,-1000000,False,1000500
149,1,2400,550,False,1850
150,1,50,100,False,-50
151,1,1550,1650,True,-100
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,0,1400,-1000000,False,1001400
155,1,350,650,True,-300
156,1,2950,3250,True,-300
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1750,False,-250
161,0,2550,-1000000,False,1002550
162,1,800,1300,False,-500
163,1,650,400,True,250
164,1,1300,1350,False,-50
165,1,400,500,False,-100
166,0,-250,-1000000,True,999750
167,0,-50,-1000000,True,999950
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,400,False,-100
171,1,0,450,True,-450
172,1,1350,1500,False,-150
173,1,550,550,False,0
174,1,0,-700,True,700
