,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,1,-200,550,True,-750
2,1,100,950,True,-850
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,150,False,100
6,0,2600,-1000000,True,1002600
7,1,-150,0,False,-150
8,1,200,350,False,-150
9,1,300,50,False,250
10,1,-100,750,True,-850
11,1,450,950,False,-500
12,1,800,300,False,500
13,1,2750,0,False,2750
14,1,850,350,False,500
15,0,0,-1000000,False,1000000
16,1,700,500,True,200
17,1,150,1050,False,-900
18,1,-50,250,True,-300
19,1,900,950,False,-50
20,1,-200,400,False,-600
21,0,0,-1000000,True,1000000
22,1,50,-1550,False,1600
23,1,700,900,False,-200
24,1,100,700,True,-600
25,1,1000,900,False,100
26,1,1250,250,False,1000
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,350,False,-350
30,1,350,-250,True,600
31,1,1300,1350,False,-50
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,850,False,-200
35,0,150,-1000000,False,1000150
36,1,-100,750,True,-850
37,0,0,-1000000,True,1000000
38,1,100,250,False,-150
39,1,1300,1300,True,0
40,1,550,600,False,-50
41,1,600,-50,False,650
42,1,1150,1150,False,0
43,1,100,350,False,-250
44,1,0,150,True,-150
45,1,100,300,False,-200
46,1,-250,100,True,-350
47,1,550,1400,True,-850
48,1,800,800,False,0
49,1,-400,450,False,-850
50,1,0,150,False,-150
51,1,100,1000,False,-900
52,1,750,900,False,-150
53,1,50,450,False,-400
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1750,False,-900
60,1,1250,1250,False,0
61,1,300,1250,False,-950
62,1,0,600,True,-600
63,1,300,400,False,-100
64,1,200,950,False,-750
65,0,0,-1000000,False,1000000
66,1,250,350,False,-100
67,1,1900,2100,False,-200
68,1,600,650,True,-50
69,1,300,150,False,150
70,1,2250,950,False,1300
71,1,500,300,False,200
72,1,800,1500,False,-700
73,0,1400,-1000000,False,1001400
74,0,450,-1000000,True,1000450
75,0,2200,-1000000,False,1002200
76,1,2750,2300,False,450
77,1,400,400,False,0
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,0,1450,-1000000,False,1001450
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1200,False,-150
84,1,1100,-300,False,1400
85,1,250,350,True,-100
86,1,1700,1400,False,300
87,0,50,-1000000,False,1000050
88,1,250,450,False,-200
89,1,-400,50,True,-450
90,0,250,-1000000,False,1000250
91,1,600,700,False,-100
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,1,400,1150,False,-750
95,1,450,150,False,300
96,1,-100,100,False,-200
97,1,700,850,True,-150
98,1,0,200,False,-200
99,1,100,500,False,-400
100,1,600,1100,True,-500
101,1,1400,1600,False,-200
102,1,2900,2900,False,0
103,1,550,600,True,-50
104,1,450,700,False,-250
105,1,-150,500,True,-650
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,300,True,-150
110,1,1050,1100,True,-50
111,1,2950,-50,False,3000
112,1,1200,1400,False,-200
113,1,1750,1850,False,-100
114,1,-200,-1050,True,850
115,1,300,450,False,-150
116,1,150,750,True,-600
117,0,200,-1000000,True,1000200
118,1,0,850,False,-850
119,1,250,350,False,-100
120,1,250,50,False,200
121,1,600,600,True,0
122,1,100,-200,True,300
123,1,450,450,False,0
124,1,50,900,True,-850
125,1,1100,700,True,400
126,0,700,-1000000,False,1000700
127,1,0,550,True,-550
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,700,True,150
131,0,0,-1000000,True,1000000
132,1,150,350,False,-200
133,1,500,800,False,-300
134,1,600,850,False,-250
135,1,200,-500,False,700
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,50,False,400
139,1,-50,-800,True,750
140,1,800,50,False,750
141,0,650,-1000000,False,1000650
142,1,0,150,False,-150
143,1,300,350,False,-50
144,1,400,450,False,-50
145,0,50,-1000000,False,1000050
146,1,900,600,True,300
147,1,600,250,False,350
148,0,500,-1000000,False,1000500
149,1,2400,600,False,1800
150,1,50,100,False,-50
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,600,True,-250
156,1,2950,3050,True,-100
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,300,True,350
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,0,-250,-1000000,True,999750
167,1,-50,500,True,-550
168,1,1150,1100,False,50
169,0,-300,-1000000,True,999700
170,1,300,400,False,-100
171,1,0,500,True,-500
172,1,1350,1350,False,0
173,1,550,550,False,0
174,0,0,-1000000,True,1000000
