,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,0,-200,-1000000,True,999800
2,1,100,1050,True,-950
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-500,False,750
6,0,2600,-1000000,True,1002600
7,1,-150,-750,False,600
8,1,200,-600,False,800
9,1,300,50,False,250
10,1,-100,500,True,-600
11,1,450,950,False,-500
12,1,800,450,False,350
13,1,2750,-250,False,3000
14,1,850,950,False,-100
15,1,0,-1350,False,1350
16,1,700,500,True,200
17,1,150,400,False,-250
18,1,-50,350,True,-400
19,1,900,950,False,-50
20,1,-200,200,False,-400
21,0,0,-1000000,True,1000000
22,1,50,900,False,-850
23,1,700,550,False,150
24,1,100,900,True,-800
25,1,1000,750,False,250
26,1,1250,250,False,1000
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,500,False,-500
30,1,350,-150,True,500
31,1,1300,1300,False,0
32,1,100,400,True,-300
33,1,-100,350,True,-450
34,1,650,-700,False,1350
35,0,150,-1000000,False,1000150
36,1,-100,650,True,-750
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,300,False,250
41,1,600,-200,False,800
42,1,1150,1150,False,0
43,1,100,700,False,-600
44,1,0,550,True,-550
45,1,100,250,False,-150
46,1,-250,-50,True,-200
47,1,550,1500,True,-950
48,1,800,850,False,-50
49,1,-400,300,False,-700
50,1,0,150,False,-150
51,1,100,500,False,-400
52,1,750,850,False,-100
53,1,50,900,False,-850
54,0,300,-1000000,False,1000300
55,1,450,500,False,-50
56,1,900,900,False,0
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1750,False,-900
60,1,1250,1300,False,-50
61,1,300,550,False,-250
62,1,0,750,True,-750
63,1,300,400,False,-100
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,200,False,50
67,1,1900,2150,False,-250
68,1,600,650,True,-50
69,1,300,-450,False,750
70,1,2250,200,False,2050
71,1,500,300,False,200
72,1,800,1500,False,-700
73,0,1400,-1000000,False,1001400
74,1,450,550,True,-100
75,1,2200,2200,False,0
76,1,2750,2400,False,350
77,1,400,450,False,-50
78,1,200,-4400,True,4600
79,1,200,-1100,False,1300
80,1,1450,-1150,False,2600
81,1,600,800,True,-200
82,0,850,-1000000,False,1000850
83,1,1050,1200,False,-150
84,1,1100,-300,False,1400
85,1,250,-600,True,850
86,1,1700,1450,False,250
87,1,50,500,False,-450
88,1,250,600,False,-350
89,1,-400,-1050,True,650
90,1,250,-750,False,1000
91,1,600,200,False,400
92,1,2450,2550,False,-100
93,1,850,1450,True,-600
94,1,400,1150,False,-750
95,1,450,250,False,200
96,1,-100,250,False,-350
97,0,700,-1000000,True,1000700
98,1,0,200,False,-200
99,1,100,750,False,-650
100,1,600,350,True,250
101,1,1400,1700,False,-300
102,1,2900,2950,False,-50
103,1,550,1300,True,-750
104,1,450,700,False,-250
105,0,-150,-1000000,True,999850
106,1,-150,200,True,-350
107,1,1150,850,False,300
108,1,400,750,True,-350
109,1,150,850,True,-700
110,1,1050,1100,True,-50
111,1,2950,150,False,2800
112,1,1200,1500,False,-300
113,1,1750,1900,False,-150
114,1,-200,-1050,True,850
115,1,300,400,False,-100
116,0,150,-1000000,True,1000150
117,1,200,-550,True,750
118,1,0,850,False,-850
119,1,250,350,False,-100
120,1,250,-150,False,400
121,1,600,600,True,0
122,1,100,-100,True,200
123,1,450,450,False,0
124,0,50,-1000000,True,1000050
125,1,1100,-1600,True,2700
126,1,700,-1100,False,1800
127,1,0,700,True,-700
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,900,True,-50
131,0,0,-1000000,True,1000000
132,1,150,400,False,-250
133,1,500,-1950,False,2450
134,1,600,900,False,-300
135,1,200,250,False,-50
136,1,200,300,False,-100
137,1,450,450,False,0
138,1,450,350,False,100
139,1,-50,400,True,-450
140,1,800,850,False,-50
141,0,650,-1000000,False,1000650
142,1,0,200,False,-200
143,1,300,200,False,100
144,1,400,350,False,50
145,0,50,-1000000,False,1000050
146,1,900,100,True,800
147,1,600,100,False,500
148,0,500,-1000000,False,1000500
149,1,2400,450,False,1950
150,1,50,350,False,-300
151,1,1550,1600,True,-50
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,900,True,-550
156,1,2950,3100,True,-150
157,0,-400,-1000000,False,999600
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,400,True,250
164,1,1300,1750,False,-450
165,1,400,450,False,-50
166,1,-250,350,True,-600
167,1,-50,450,True,-500
168,1,1150,1050,False,100
169,0,-300,-1000000,True,999700
170,0,300,-1000000,False,1000300
171,0,0,-1000000,True,1000000
172,1,1350,1500,False,-150
173,1,550,550,False,0
174,1,0,-650,True,650
