,type,target,pred,barge_in,error
0,1,100,200,False,-100
1,0,-200,-1000000,True,999800
2,1,100,950,True,-850
3,1,600,800,True,-200
4,0,-150,-1000000,True,999850
5,1,250,-450,False,700
6,0,2600,-1000000,True,1002600
7,1,-150,100,False,-250
8,1,200,350,False,-150
9,1,300,100,False,200
10,1,-100,150,True,-250
11,1,450,800,False,-350
12,1,800,350,False,450
13,1,2750,-550,False,3300
14,1,850,500,False,350
15,1,0,-1200,False,1200
16,1,700,500,True,200
17,1,150,350,False,-200
18,1,-50,200,True,-250
19,1,900,950,False,-50
20,0,-200,-1000000,False,999800
21,0,0,-1000000,True,1000000
22,1,50,650,False,-600
23,1,700,750,False,-50
24,0,100,-1000000,True,1000100
25,1,1000,750,False,250
26,1,1250,550,False,700
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,150,False,-150
30,1,350,-50,True,400
31,1,1300,1300,False,0
32,1,100,450,True,-350
33,0,-100,-1000000,True,999900
34,1,650,-900,False,1550
35,0,150,-1000000,False,1000150
36,1,-100,600,True,-700
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1450,True,2750
40,1,550,600,False,-50
41,1,600,900,False,-300
42,1,1150,1150,False,0
43,1,100,650,False,-550
44,1,0,550,True,-550
45,1,100,500,False,-400
46,0,-250,-1000000,True,999750
47,1,550,1400,True,-850
48,1,800,850,False,-50
49,1,-400,450,False,-850
50,1,0,200,False,-200
51,1,100,1050,False,-950
52,1,750,1100,False,-350
53,1,50,850,False,-800
54,0,300,-1000000,False,1000300
55,1,450,100,False,350
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1700,False,-850
60,1,1250,1200,False,50
61,1,300,1050,False,-750
62,1,0,550,True,-550
63,1,300,400,False,-100
64,1,200,900,False,-700
65,0,0,-1000000,False,1000000
66,1,250,250,False,0
67,1,1900,1050,False,850
68,1,600,700,True,-100
69,1,300,-600,False,900
70,1,2250,600,False,1650
71,1,500,500,False,0
72,1,800,1600,False,-800
73,0,1400,-1000000,False,1001400
74,1,450,550,True,-100
75,1,2200,2350,False,-150
76,1,2750,2350,False,400
77,1,400,450,False,-50
78,1,200,1050,True,-850
79,1,200,-1100,False,1300
80,1,1450,1650,False,-200
81,1,600,-4250,True,4850
82,0,850,-1000000,False,1000850
83,0,1050,-1000000,False,1001050
84,1,1100,100,False,1000
85,1,250,400,True,-150
86,0,1700,-1000000,False,1001700
87,1,50,150,False,-100
88,1,250,600,False,-350
89,1,-400,-1000,True,600
90,0,250,-1000000,False,1000250
91,1,600,1250,False,-650
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,150,False,300
96,1,-100,100,False,-200
97,0,700,-1000000,True,1000700
98,1,0,700,False,-700
99,1,100,500,False,-400
100,1,600,1150,True,-550
101,1,1400,1700,False,-300
102,1,2900,2950,False,-50
103,1,550,1000,True,-450
104,1,450,700,False,-250
105,1,-150,350,True,-500
106,1,-150,100,True,-250
107,1,1150,250,False,900
108,1,400,750,True,-350
109,1,150,700,True,-550
110,1,1050,1800,True,-750
111,1,2950,-50,False,3000
112,1,1200,1500,False,-300
113,1,1750,1950,False,-200
114,1,-200,100,True,-300
115,1,300,500,False,-200
116,0,150,-1000000,True,1000150
117,1,200,150,True,50
118,1,0,850,False,-850
119,1,250,300,False,-50
120,1,250,700,False,-450
121,1,600,200,True,400
122,1,100,400,True,-300
123,1,450,500,False,-50
124,1,50,900,True,-850
125,1,1100,700,True,400
126,1,700,-1050,False,1750
127,1,0,550,True,-550
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,650,True,200
131,1,0,450,True,-450
132,1,150,350,False,-200
133,1,500,550,False,-50
134,1,600,900,False,-300
135,1,200,150,False,50
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,50,False,400
139,1,-50,-800,True,750
140,1,800,100,False,700
141,1,650,1000,False,-350
142,1,0,100,False,-100
143,1,300,150,False,150
144,1,400,250,False,150
145,0,50,-1000000,False,1000050
146,1,900,100,True,800
147,1,600,100,False,500
148,0,500,-1000000,False,1000500
149,1,2400,500,False,1900
150,1,50,100,False,-50
151,1,1550,1550,True,0
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,900,True,-550
156,1,2950,3200,True,-250
157,1,-400,550,False,-950
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,1,2550,3050,False,-500
162,1,800,850,False,-50
163,1,650,250,True,400
164,1,1300,1600,False,-300
165,1,400,500,False,-100
166,0,-250,-1000000,True,999750
167,1,-50,650,True,-700
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,-1700,False,2000
171,1,0,500,True,-500
172,0,1350,-1000000,False,1001350
173,1,550,550,False,0
174,1,0,-700,True,700
