,type,target,pred,barge_in,error
0,1,100,400,False,-300
1,0,-200,-1000000,True,999800
2,1,100,950,True,-850
3,0,600,-1000000,True,1000600
4,0,-150,-1000000,True,999850
5,1,250,-400,False,650
6,1,2600,1300,True,1300
7,1,-150,100,False,-250
8,1,200,400,False,-200
9,1,300,50,False,250
10,1,-100,250,True,-350
11,1,450,1100,False,-650
12,1,800,1050,False,-250
13,1,2750,-350,False,3100
14,1,850,500,False,350
15,1,0,-1200,False,1200
16,1,700,450,True,250
17,1,150,1100,False,-950
18,1,-50,450,True,-500
19,1,900,950,False,-50
20,1,-200,200,False,-400
21,0,0,-1000000,True,1000000
22,0,50,-1000000,False,1000050
23,1,700,700,False,0
24,1,100,800,True,-700
25,1,1000,1100,False,-100
26,1,1250,250,False,1000
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,550,False,-550
30,1,350,-50,True,400
31,1,1300,1350,False,-50
32,1,100,450,True,-350
33,1,-100,350,True,-450
34,1,650,900,False,-250
35,1,150,300,False,-150
36,1,-100,550,True,-650
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,600,False,-50
41,1,600,500,False,100
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,900,True,-900
45,1,100,250,False,-150
46,1,-250,650,True,-900
47,0,550,-1000000,True,1000550
48,1,800,800,False,0
49,1,-400,-1100,False,700
50,1,0,-350,False,350
51,1,100,500,False,-400
52,1,750,850,False,-100
53,0,50,-1000000,False,1000050
54,0,300,-1000000,False,1000300
55,1,450,550,False,-100
56,1,900,1000,False,-100
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1800,False,-950
60,1,1250,1450,False,-200
61,0,300,-1000000,False,1000300
62,1,0,900,True,-900
63,1,300,400,False,-100
64,1,200,650,False,-450
65,1,0,450,False,-450
66,1,250,250,False,0
67,1,1900,2500,False,-600
68,1,600,700,True,-100
69,1,300,-500,False,800
70,1,2250,100,False,2150
71,1,500,300,False,200
72,1,800,1150,False,-350
73,1,1400,1500,False,-100
74,1,450,-3000,True,3450
75,1,2200,2200,False,0
76,1,2750,2400,False,350
77,1,400,450,False,-50
78,1,200,-4550,True,4750
79,1,200,-1100,False,1300
80,1,1450,-1100,False,2550
81,1,600,-4500,True,5100
82,0,850,-1000000,False,1000850
83,1,1050,1250,False,-200
84,1,1100,-300,False,1400
85,1,250,350,True,-100
86,1,1700,1400,False,300
87,1,50,150,False,-100
88,1,250,400,False,-150
89,0,-400,-1000000,True,999600
90,0,250,-1000000,False,1000250
91,1,600,950,False,-350
92,1,2450,-150,False,2600
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,200,False,250
96,1,-100,300,False,-400
97,0,700,-1000000,True,1000700
98,0,0,-1000000,False,1000000
99,1,100,800,False,-700
100,1,600,400,True,200
101,1,1400,1750,False,-350
102,1,2900,2900,False,0
103,1,550,1150,True,-600
104,1,450,700,False,-250
105,0,-150,-1000000,True,999850
106,0,-150,-1000000,True,999850
107,1,1150,850,False,300
108,0,400,-1000000,True,1000400
109,1,150,400,True,-250
110,1,1050,1100,True,-50
111,1,2950,0,False,2950
112,1,1200,1450,False,-250
113,1,1750,1900,False,-150
114,1,-200,150,True,-350
115,1,300,400,False,-100
116,0,150,-1000000,True,1000150
117,1,200,-550,True,750
118,0,0,-1000000,False,1000000
119,1,250,300,False,-50
120,1,250,450,False,-200
121,1,600,600,True,0
122,1,100,150,True,-50
123,1,450,450,False,0
124,0,50,-1000000,True,1000050
125,1,1100,1400,True,-300
126,1,700,-1100,False,1800
127,0,0,-1000000,True,1000000
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,700,True,150
131,0,0,-1000000,True,1000000
132,1,150,300,False,-150
133,1,500,800,False,-300
134,1,600,900,False,-300
135,1,200,-450,False,650
136,1,200,350,False,-150
137,1,450,500,False,-50
138,1,450,100,False,350
139,1,-50,-800,True,750
140,1,800,50,False,750
141,1,650,1350,False,-700
142,0,0,-1000000,False,1000000
143,1,300,350,False,-50
144,1,400,750,False,-350
145,0,50,-1000000,False,1000050
146,1,900,550,True,350
147,1,600,100,False,500
148,0,500,-1000000,False,1000500
149,1,2400,600,False,1800
150,1,50,200,False,-150
151,1,1550,1550,True,0
152,0,0,-1000000,False,1000000
153,1,0,100,False,-100
154,1,1400,1500,False,-100
155,1,350,650,True,-300
156,1,2950,3050,True,-100
157,1,-400,550,False,-950
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1300,False,-500
163,1,650,550,True,100
164,1,1300,1300,False,0
165,1,400,450,False,-50
166,1,-250,550,True,-800
167,1,-50,450,True,-500
168,1,1150,1100,False,50
169,0,-300,-1000000,True,999700
170,1,300,-1600,False,1900
171,1,0,500,True,-500
172,1,1350,1900,False,-550
173,1,550,550,False,0
174,1,0,-650,True,650
