,type,target,pred,barge_in,error
0,1,100,150,False,-50
1,1,-200,550,True,-750
2,1,100,650,True,-550
3,1,600,850,True,-250
4,0,-150,-1000000,True,999850
5,1,250,-650,False,900
6,1,2600,1150,True,1450
7,1,-150,0,False,-150
8,1,200,650,False,-450
9,1,300,50,False,250
10,1,-100,100,True,-200
11,1,450,750,False,-300
12,1,800,350,False,450
13,1,2750,-450,False,3200
14,1,850,350,False,500
15,1,0,-1150,False,1150
16,1,700,500,True,200
17,1,150,350,False,-200
18,1,-50,200,True,-250
19,1,900,1000,False,-100
20,1,-200,350,False,-550
21,0,0,-1000000,True,1000000
22,1,50,800,False,-750
23,1,700,550,False,150
24,1,100,750,True,-650
25,1,1000,750,False,250
26,1,1250,-550,False,1800
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,550,False,-550
30,0,350,-1000000,True,1000350
31,1,1300,1350,False,-50
32,1,100,400,True,-300
33,0,-100,-1000000,True,999900
34,1,650,700,False,-50
35,1,150,300,False,-150
36,1,-100,550,True,-650
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,-1500,True,2800
40,1,550,650,False,-100
41,1,600,-300,False,900
42,1,1150,1200,False,-50
43,1,100,100,False,0
44,1,0,550,True,-550
45,1,100,250,False,-150
46,0,-250,-1000000,True,999750
47,1,550,1400,True,-850
48,1,800,800,False,0
49,1,-400,-1450,False,1050
50,1,0,250,False,-250
51,1,100,1000,False,-900
52,1,750,1150,False,-400
53,1,50,350,False,-300
54,0,300,-1000000,False,1000300
55,1,450,50,False,400
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,0,-50,-1000000,True,999950
59,1,850,1600,False,-750
60,1,1250,1250,False,0
61,1,300,950,False,-650
62,1,0,400,True,-400
63,1,300,-150,False,450
64,1,200,300,False,-100
65,0,0,-1000000,False,1000000
66,1,250,650,False,-400
67,1,1900,800,False,1100
68,1,600,1050,True,-450
69,1,300,-450,False,750
70,1,2250,950,False,1300
71,1,500,300,False,200
72,1,800,1550,False,-750
73,1,1400,1600,False,-200
74,1,450,-2800,True,3250
75,1,2200,2200,False,0
76,1,2750,2300,False,450
77,1,400,500,False,-100
78,1,200,1000,True,-800
79,1,200,-1500,False,1700
80,1,1450,-1100,False,2550
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1200,False,-150
84,1,1100,550,False,550
85,1,250,-600,True,850
86,1,1700,1450,False,250
87,1,50,100,False,-50
88,1,250,500,False,-250
89,1,-400,0,True,-400
90,0,250,-1000000,False,1000250
91,1,600,950,False,-350
92,1,2450,-200,False,2650
93,0,850,-1000000,True,1000850
94,0,400,-1000000,False,1000400
95,1,450,-50,False,500
96,1,-100,100,False,-200
97,0,700,-1000000,True,1000700
98,1,0,100,False,-100
99,1,100,350,False,-250
100,1,600,1100,True,-500
101,1,1400,1500,False,-100
102,1,2900,2950,False,-50
103,1,550,600,True,-50
104,1,450,-50,False,500
105,0,-150,-1000000,True,999850
106,1,-150,150,True,-300
107,1,1150,850,False,300
108,1,400,1100,True,-700
109,1,150,400,True,-250
110,1,1050,1150,True,-100
111,1,2950,0,False,2950
112,1,1200,1450,False,-250
113,1,1750,1900,False,-150
114,1,-200,-1000,True,800
115,1,300,400,False,-100
116,1,150,650,True,-500
117,1,200,-450,True,650
118,1,0,850,False,-850
119,1,250,250,False,0
120,1,250,500,False,-250
121,1,600,200,True,400
122,1,100,300,True,-200
123,1,450,450,False,0
124,1,50,500,True,-450
125,1,1100,650,True,450
126,1,700,-1050,False,1750
127,1,0,550,True,-550
128,1,1150,1200,False,-50
129,1,150,350,False,-200
130,1,850,700,True,150
131,1,0,750,True,-750
132,1,150,100,False,50
133,1,500,550,False,-50
134,1,600,900,False,-300
135,1,200,-500,False,700
136,1,200,300,False,-100
137,1,450,800,False,-350
138,1,450,-50,False,500
139,1,-50,-800,True,750
140,1,800,50,False,750
141,1,650,1400,False,-750
142,1,0,650,False,-650
143,1,300,200,False,100
144,1,400,500,False,-100
145,0,50,-1000000,False,1000050
146,1,900,550,True,350
147,1,600,50,False,550
148,1,500,-1300,False,1800
149,1,2400,750,False,1650
150,1,50,100,False,-50
151,1,1550,1550,True,0
152,1,0,200,False,-200
153,1,0,100,False,-100
154,1,1400,1400,False,0
155,1,350,600,True,-250
156,1,2950,3050,True,-100
157,0,-400,-1000000,False,999600
158,1,0,250,True,-250
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,-650,False,1450
163,1,650,250,True,400
164,1,1300,1350,False,-50
165,1,400,450,False,-50
166,0,-250,-1000000,True,999750
167,1,-50,650,True,-700
168,1,1150,1150,False,0
169,0,-300,-1000000,True,999700
170,1,300,-1800,False,2100
171,1,0,500,True,-500
172,1,1350,1400,False,-50
173,1,550,550,False,0
174,1,0,-700,True,700
