,type,target,pred,barge_in,error
0,1,100,250,False,-150
1,1,-200,550,True,-750
2,1,100,1000,True,-900
3,1,600,200,True,400
4,0,-150,-1000000,True,999850
5,0,250,-1000000,False,1000250
6,0,2600,-1000000,True,1002600
7,1,-150,50,False,-200
8,1,200,400,False,-200
9,1,300,50,False,250
10,0,-100,-1000000,True,999900
11,1,450,900,False,-450
12,1,800,350,False,450
13,0,2750,-1000000,False,1002750
14,1,850,550,False,300
15,0,0,-1000000,False,1000000
16,1,700,300,True,400
17,1,150,350,False,-200
18,1,-50,350,True,-400
19,1,900,950,False,-50
20,1,-200,300,False,-500
21,0,0,-1000000,True,1000000
22,1,50,-1700,False,1750
23,1,700,650,False,50
24,0,100,-1000000,True,1000100
25,1,1000,850,False,150
26,1,1250,-350,False,1600
27,0,-100,-1000000,True,999900
28,0,-150,-1000000,True,999850
29,1,0,650,False,-650
30,1,350,800,True,-450
31,1,1300,1400,False,-100
32,1,100,400,True,-300
33,1,-100,400,True,-500
34,1,650,900,False,-250
35,0,150,-1000000,False,1000150
36,1,-100,650,True,-750
37,0,0,-1000000,True,1000000
38,1,100,300,False,-200
39,1,1300,1300,True,0
40,1,550,250,False,300
41,0,600,-1000000,False,1000600
42,1,1150,1150,False,0
43,1,100,750,False,-650
44,1,0,300,True,-300
45,1,100,250,False,-150
46,1,-250,250,True,-500
47,0,550,-1000000,True,1000550
48,1,800,800,False,0
49,1,-400,-1000,False,600
50,1,0,100,False,-100
51,1,100,950,False,-850
52,1,750,400,False,350
53,0,50,-1000000,False,1000050
54,1,300,850,False,-550
55,1,450,500,False,-50
56,1,900,950,False,-50
57,0,-450,-1000000,True,999550
58,1,-50,400,True,-450
59,1,850,1700,False,-850
60,1,1250,1150,False,100
61,1,300,650,False,-350
62,1,0,600,True,-600
63,1,300,350,False,-50
64,1,200,1000,False,-800
65,1,0,450,False,-450
66,1,250,50,False,200
67,1,1900,2450,False,-550
68,1,600,650,True,-50
69,1,300,150,False,150
70,1,2250,100,False,2150
71,1,500,450,False,50
72,1,800,1200,False,-400
73,1,1400,1600,False,-200
74,1,450,1250,True,-800
75,1,2200,2250,False,-50
76,1,2750,2300,False,450
77,1,400,450,False,-50
78,0,200,-1000000,True,1000200
79,0,200,-1000000,False,1000200
80,1,1450,1600,False,-150
81,0,600,-1000000,True,1000600
82,0,850,-1000000,False,1000850
83,1,1050,1050,False,0
84,1,1100,1150,False,-50
85,1,250,400,True,-150
86,1,1700,1400,False,300
87,1,50,550,False,-500
88,1,250,450,False,-200
89,1,-400,350,True,-750
90,1,250,200,False,50
91,1,600,1300,False,-700
92,1,2450,2550,False,-100
93,0,850,-1000000,True,1000850
94,1,400,1100,False,-700
95,1,450,250,False,200
96,1,-100,250,False,-350
97,1,700,850,True,-150
98,1,0,200,False,-200
99,1,100,750,False,-650
100,1,600,1200,True,-600
101,1,1400,1750,False,-350
102,1,2900,2900,False,0
103,1,550,1150,True,-600
104,1,450,700,False,-250
105,1,-150,450,True,-600
106,1,-150,200,True,-350
107,1,1150,250,False,900
108,1,400,1150,True,-750
109,1,150,900,True,-750
110,1,1050,1800,True,-750
111,1,2950,-300,False,3250
112,1,1200,1350,False,-150
113,1,1750,1900,False,-150
114,1,-200,150,True,-350
115,1,300,400,False,-100
116,1,150,700,True,-550
117,0,200,-1000000,True,1000200
118,0,0,-1000000,False,1000000
119,1,250,250,False,0
120,1,250,-150,False,400
121,1,600,700,True,-100
122,1,100,100,True,0
123,1,450,450,False,0
124,1,50,900,True,-850
125,1,1100,750,True,350
126,1,700,700,False,0
127,1,0,200,True,-200
128,1,1150,1200,False,-50
129,1,150,300,False,-150
130,1,850,900,True,-50
131,0,0,-1000000,True,1000000
132,1,150,400,False,-250
133,1,500,800,False,-300
134,1,600,850,False,-250
135,1,200,100,False,100
136,1,200,300,False,-100
137,1,450,500,False,-50
138,1,450,100,False,350
139,1,-50,-800,True,750
140,1,800,100,False,700
141,1,650,900,False,-250
142,0,0,-1000000,False,1000000
143,1,300,150,False,150
144,1,400,450,False,-50
145,0,50,-1000000,False,1000050
146,1,900,150,True,750
147,1,600,50,False,550
148,0,500,-1000000,False,1000500
149,1,2400,450,False,1950
150,1,50,100,False,-50
151,1,1550,1650,True,-100
152,0,0,-1000000,False,1000000
153,1,0,200,False,-200
154,1,1400,1450,False,-50
155,1,350,700,True,-350
156,1,2950,3050,True,-100
157,1,-400,350,False,-750
158,0,0,-1000000,True,1000000
159,0,-200,-1000000,True,999800
160,1,1500,1550,False,-50
161,0,2550,-1000000,False,1002550
162,1,800,1050,False,-250
163,1,650,350,True,300
164,1,1300,1300,False,0
165,1,400,400,False,0
166,1,-250,350,True,-600
167,1,-50,300,True,-350
168,1,1150,1100,False,50
169,0,-300,-1000000,True,999700
170,1,300,500,False,-200
171,1,0,500,True,-500
172,1,1350,1400,False,-50
173,1,550,400,False,150
174,0,0,-1000000,True,1000000
